sample,depth,grain_number,raw_Ahe_age,raw_Ahe_age_SE,AHe_age_corr,AHe_age_corr_SE,grain_radius,U,Th,Sm
RH05,0,1,2.1148890884,0.1268933453,3.05,0.18,51.37128448,8.91129302978516,223.653701782227,52.6475982666016
RH05,0,2,2.2470268473,0.1348216138,3.63,0.22,36.62459183,30.1201801300049,67.6785049438477,156.831832885742
RH05,0,3,2.7297423968,0.1637845438,4.73,0.28,36.16984558,29.9446449279785,345.868316650391,111.503730773926
RH10,0,1,3.62,0.24,5.25,0.34,43.75,6.13708833650155,15.6187907725546,535.465584718989
RH10,0,2,34.17,0.61,46.34,0.83,55.5,15.8418574314166,47.878533746191,510.325718028881
RH10,0,3,12.28,0.31,16.54,0.42,56,9.33317598808639,34.7863109850288,426.596715678523
RH12,0,1,3.32,0.26,4.2,0.33,80,36.268383026123,160.824127197266,58.4816780090332
RH12,0,2,3.43,0.27,4.4,0.35,78.5,41.1955261230469,167.503952026367,65.2874984741211
RH15,0,1,58.2834782279,1.93,84.92,2.82,41.25,8.45791612843274,6.08245195697141,61.0197702496276
RH15,0,2,12.6951557979,0.29,17.01,0.39,52.5,33.1346747712135,45.2812428699272,168.843203563792
RH15,0,3,2.0941738532,0.14,3.07,0.21,51.75,8.5680850432235,70.2004790589992,145.183676238327
RH17,0,1,5.9182678424,0.4734614177,8.7,0.7,47,122.139358520508,43.4929733276367,71.3854293823242
RH17,0,2,1.8148921088,0.1451913683,3,0.24,40,11.2406539916992,376.933959960938,50.4124717712402
RH17,0,3,2.236722067,0.1789377571,3.5,0.28,44,19.7323913574219,108.218376159668,67.4402084350586
RH20,0,1,3.8487294164,0.23,5.72,0.34,41.75,5.24570176612052,19.3105821612785,172.463262950625
RH20,0,2,3.1438516555,0.17,4.87,0.26,40,4.81427902815512,63.9532943260995,210.122604898756
RH20,0,3,3.6346995977,0.08,4.57,0.1,71,20.2414665947293,52.1711950276495,235.649271981877
RH23,0,2,3.78,0.3,5.4,0.43,58,4.24505281448364,11.1679992675781,39.862419128418
RH23,0,3,4.6,0.37,6.3,0.51,55,8.53774452209473,16.1547622680664,27.2826633453369
RH30a,0,1,4.593986457,0.13,6.25,0.18,55.75,23.0642300016411,4.81636508273188,182.781486801257
RH30a,0,2,2.9901104691,0.41,4.24,0.58,47.25,4.11311455139396,8.16328942768994,233.654426709852
RH30a,0,3,4.2574928538,0.14,5.83,0.19,55,24.4857279641505,2.93068253755371,134.784569589733
RH30b,0,1,4.5287675978,0.18,5.96,0.23,56.5,6.80143379565701,2.81788120928496,142.001126288313
RH30b,0,2,5.3760718285,0.17,8.04,0.26,47,59.9901033981768,4.68197701652799,146.351524470434
RH30b,0,3,3.2675520995,0.41,4.88,0.61,42.25,6.82840474016884,6.50722476731292,115.976594988969
RH35,0,1,7.2428669003,0.43,10.25,0.61,54.4966774,14.7053308486938,38.4990005493164,57.2336921691895
RH35,0,2,4.9329079598,0.3,7.37,0.44,45.20564651,31.1794929504395,44.6359024047852,31.1459407806396
RH35,0,3,5.4102196013,0.32,7.64,0.46,57.7821846,19.9576625823975,44.0211219787598,55.2783241271973
RH40,0,1,8.1609978737,0.32,14.05,0.55,31.25,12.2725189436307,19.9865355283661,702.145973882878
RH40,0,2,32.3200469538,0.66,44.86,0.92,48.75,16.74699784328,30.7055391776222,619.066509930125
RH40,0,3,10.8506582299,0.48,18.95,0.84,30.75,13.7861650480936,27.504498460881,688.391097061651
RH45,0,1,6.3213902331,0.38,8.94,0.54,50.82838821,43.949104309082,81.0418853759766,132.997833251953
RH45,0,2,7.0548979132,0.42,9.15,0.55,66.99988556,62.033203125,10.4206199645996,95.3642425537109
RH45,0,3,10.4584444187,0.63,13.5,0.81,70.86531067,59.5708045959473,24.4065971374512,105.385757446289
RH50,0,2,8.0027320192,0.48,12.36,0.74,42.94648361,5.5016713142395,25.7073993682861,44.4620513916016
RH50,0,3,4.2539893593,0.26,6.45,0.39,48.48574448,88.4815063476562,289.362884521484,74.8279037475586
RH50,0,,4.4357762085,0.27,7.65,0.46,36.94181442,67.7781753540039,65.4481735229492,288.866729736328
RH60c,0,2,5.1957672824,0.31,7.71,0.46,48.56937408,9.55527877807617,92.7509994506836,280.906188964844
