sample,grain_number,AFT_age,AFT_age_1sigma,AFT_age_stderr_min,AFT_age_stderr_plus,Dpar
E05,,3.8971782848845,2.29,2.29,2.29,1.5
E05,,4.64266613816696,3.89,3.89,3.89,0.97
E05,,13.1172354909361,3.45,3.45,3.45,1.62
E05,,4.3983986297937,13.57,13.57,13.57,1.03
E05,,15.9459446908595,4.55,4.55,4.55,1.12
E05,,0.79963984362886,1.91,1.91,1.91,1.35
E05,,16.8853453881485,6.12,6.12,6.12,1.32
E05,,2.99326760375137,2.71,2.71,2.71,1.16
E05,,9.47485855758808,3.28,3.28,3.28,1.2
E05,,3.26897897359505,8.48,8.48,8.48,0.98
E05,,4.78437434336173,4.1,4.1,4.1,0.97
E05,,3.05587851159268,1.62,1.62,1.62,1.21
E05,,59.9113599385454,14.53,14.53,14.53,1.22
E05,,5.69735138556591,3.44,3.44,3.44,1.54
E05,,28.8869005305594,8.07,8.07,8.07,1.48
E10,,24.0112162430786,71.26,71.26,71.26,1.16
E10,,27.2350009124223,15.82,15.82,15.82,1.19
E10,,3.00991443480863,9.02,9.02,9.02,0.98
E10,,5.46018238151663,5.47,5.47,5.47,1.18
E10,,28.3672993899589,84.12,84.12,84.12,1.12
E10,,11.6258958935016,8.22,8.22,8.22,1.15
E10,,21.500600531579,15.24,15.24,15.24,1.37
E10,,20.0798110895299,59.86,59.86,59.86,1.2
E10,,8.44656837141752,8.48,8.48,8.48,1.14
E10,,16.0688494518776,9.31,9.31,9.31,1.23
E10,,1.04089636835793,3.13,3.13,3.13,1.3
E10,,7.46670605084301,5.31,5.31,5.31,1.22
E10,,11.1160617551957,11.17,11.17,11.17,1.15
E10,,14.6802901117239,8.53,8.53,8.53,1.23
E10,,7.19762948670452,5.09,5.09,5.09,1.38
E10,,16.678100733164,16.64,16.64,16.64,1.36
E10,,5.10569309634458,15.22,15.22,15.22,1.53
E10,,31.9026850001151,22.55,22.55,22.55,1.39
E10,,1.44597823034362,1.45,1.45,1.45,1.24
E10,,2.30896144144184,6.94,6.94,6.94,1.22
E10,,3.40294236983281,10.17,10.17,10.17,0.9
E10,,4.19632335296566,12.56,12.56,12.56,1.25
E10,,51.1557140720029,21.45,21.45,21.45,2.25
E10,,4.82264751236225,0.88,0.88,0.88,1.42
E10,,5.29829435590305,15.86,15.86,15.86,1.18
E10,,3.41289563375241,1.98,1.98,1.98,1.05
E10,,18.9582614812446,6.79,6.79,6.79,2.62
E10,,10.9078118331945,4.51,4.51,4.51,2.19
E10,,31.9951214696534,14.5,14.5,14.5,2.53
E10,,4.2630609731624,2.48,2.48,2.48,1.22
E10,,22.4491616915229,4.33,4.33,4.33,2.7
E20,,11.5159685943437,4.42,4.42,4.42,2.03
E20,,3.54053212588716,10.64,10.64,10.64,1.19
E20,,2.0534690002109,1.46,1.46,1.46,1.18
E20,,7.18669654861644,3.63,3.63,3.63,1.04
E20,,6.89718358264977,3.47,3.47,3.47,1.06
E20,,2.45875181856983,7.39,7.39,7.39,1.63
E20,,9.39595634789573,3.88,3.88,3.88,1.34
E20,,13.1689466075657,13.23,13.23,13.23,1.05
E20,,7.55455136322961,5.37,5.37,5.37,1.26
E20,,5.43845923750789,5.48,5.48,5.48,1.14
E20,,13.0785382595822,7.62,7.62,7.62,1.26
E20,,6.955963485109,3.51,3.51,3.51,1.19
E20,,8.41918655433942,3.8,3.8,3.8,1.18
E20,,4.18357853264283,2.98,2.98,2.98,1.4
E20,,7.3510027014306,4.26,4.26,4.26,1.19
E20,,3.67441844098806,2.61,2.61,2.61,1.1
E20,,25.2821219831758,25.29,25.29,25.29,1.28
E20,,4.07373988187047,4.08,4.08,4.08,1.19
E20,,3.7755196144599,2.68,2.68,2.68,1.2
E20,,27.1870651838909,15.88,15.88,15.88,1.38
E20,,4.39268620619876,2.55,2.55,2.55,1.24
E20,,0.98210323857965,2.93,2.93,2.93,1.39
E20,,9.02527256141941,27.04,27.04,27.04,1.19
E20,,19.2686803467404,11.19,11.19,11.19,1.18
E20,,4.99384401934193,14.94,14.94,14.94,1.34
E20,,18.1173141637141,12.89,12.89,12.89,1.35
E20,,8.69633748001209,5.04,5.04,5.04,1.12
E20,,8.37480190959676,25.06,25.06,25.06,1.14
E20,,8.58478397116487,2.04,2.04,2.04,1.39
E20,,15.85042712478,6.06,6.06,6.06,1.43
E20,,2.30391067876272,2.31,2.31,2.31,1.13
E20,,5.62438431515647,3.99,3.99,3.99,1.22
E30,,8.52022150992335,25.49,25.49,25.49,1.55
E30,,14.7726334087804,10.55,10.55,10.55,1.37
E30,,23.0629374839204,6.76,6.76,6.76,1.56
E30,,5.53512568446475,2.33,2.33,2.33,1.43
E30,,3.38980559459091,2.42,2.42,2.42,1.49
E30,,28.0891208102233,83.43,83.43,83.43,1.31
E30,,10.811241696268,4.54,4.54,4.54,1.55
E30,,16.134350942607,9.46,9.46,9.46,1.32
E30,,3.90423811781247,11.7,11.7,11.7,1.54
E30,,32.363163221594,96.02,96.02,96.02,1.26
E30,,53.0407828289184,53.36,53.36,53.36,1.63
E30,,12.3335169891241,36.85,36.85,36.85,1.11
E30,,1.84777879446093,1.86,1.86,1.86,1.29
E30,,13.9730818974669,8.19,8.19,8.19,1.13
E30,,13.4864561349096,40.28,40.28,40.28,1.61
E30,,13.929269412411,6.4,6.4,6.4,1.56
E30,,9.35023906339407,3.95,3.95,3.95,1.23
E30,,9.06800249772409,3.84,3.84,3.84,1.32
E30,,13.0937276476773,3.09,3.09,3.09,1.52
E30,,8.41030997180077,3.28,3.28,3.28,1.18
E30,,7.98399245735134,5.7,5.7,5.7,1.49
E30,,8.75335497079807,4.03,4.03,4.03,1.39
E30,,12.469378524806,12.56,12.56,12.56,1.14
E30,,7.94265009502376,3.65,3.65,3.65,1.31
E30,,9.1934521878419,2.39,2.39,2.39,1.57
E30,,4.82907778631179,1.42,1.42,1.42,1.36
E30,,20.2960971576332,6.71,6.71,6.71,1.68
E30,,9.4504120295243,4.32,4.32,4.32,1.34
E30,,13.3605427771854,3.58,3.58,3.58,1.44
E30,,3.50668106485709,2.51,2.51,2.51,1.36
E30,,2.06574479814035,2.08,2.08,2.08,1.46
E30,,25.9943147853497,18.56,18.56,18.56,1.34
E35,,7.24219298079053,5.15,5.15,5.15,1.1
E35,,4.09390030505962,4.1,4.1,4.1,1.03
E35,,1.91914416650554,1.92,1.92,1.92,1.11
E35,,22.1787844637523,22.22,22.22,22.22,1.52
E35,,5.71619269662241,5.71,5.71,5.71,1.05
E35,,21.4079284152911,63.8,63.8,63.8,1.25
E35,,20.6902756775276,12.02,12.02,12.02,1.22
E35,,5.23489726709449,15.64,15.64,15.64,1.06
E35,,4.02438458744196,2.34,2.34,2.34,1.07
E35,,16.4880559272353,6.29,6.29,6.29,1.36
E35,,20.3109112341676,6.26,6.26,6.26,1.65
E35,,17.7025932880715,7.97,7.97,7.97,1
E35,,9.20869279818905,3.52,3.52,3.52,1.1
E35,,14.6306843993483,10.42,10.42,10.42,1.47
E35,,8.46714663221001,6.04,6.04,6.04,1.18
E35,,23.3841180882571,13.55,13.55,13.55,1.49
E35,,6.1813929608389,1.51,1.51,1.51,1.37
E35,,1.42043848075287,4.24,4.24,4.24,1.27
E35,,13.3964871977726,6.73,6.73,6.73,1.33
