well,sample,depth,n_grains,AFT_age,AFT_age_stderr_plus,AFT_age_stderr_min,AFT_age_min_95ci,AFT_age_plus_95ci,aft_age_stdev,P_X2,data_type,length_mean,length_std,n_lengths,Dpar_mean,Dpar_min,Dpar_max,ref
Herdern,,635,50,43,4.08163265306122,4.08163265306122,8,8,,0,central_age,12.27,1.62,50,,,,Mazurek2006
Herdern,,1225,20,35,2.04081632653061,2.04081632653061,4,4,,0,central_age,11.05,1.69,20,,,,Mazurek2006
Herdern,,1910.45,19,32,2.04081632653061,2.04081632653061,4,4,,24,central_age,13.86,1.44,19,,,,Mazurek2006
Herdern,,2121.15,3,3.9,0.35714285714286,0.35714285714286,0.7,0.7,,73,central_age,11.75,0.36,3,,,,Mazurek2006
Herdern,,2153.55,9,3.2,0.25510204081633,0.25510204081633,0.5,0.5,,89,central_age,10.95,2.74,9,,,,Mazurek2006
Boswil,B1,57,25,29.8,1.83673469387755,1.83673469387755,3.6,3.6,,0,central_age,,,,,,,Cederbom2004
Boswil,B3,492,25,33.3,2.44897959183673,2.44897959183673,4.8,4.8,,0,central_age,,,,,,,Cederbom2004
Boswil,B158,840,20,27.4,1.83673469387755,1.83673469387755,3.6,3.6,,0,central_age,,,,,,,Cederbom2004
Boswil,B5,850,25,28.6,1.42857142857143,1.42857142857143,2.8,2.8,,27,central_age,,,,,,,Cederbom2004
Boswil,B6,1092,25,21.6,1.02040816326531,1.02040816326531,2,2,,17,central_age,,,,,,,Cederbom2004
Boswil,B159,1275,26,26.9,1.27551020408163,1.27551020408163,2.5,2.5,,0,central_age,,,,,,,Cederbom2004
Boswil,B7,1312,25,23,1.02040816326531,1.02040816326531,2,2,,86,central_age,,,,,,,Cederbom2004
Boswil,B8,1507,25,23.4,1.3265306122449,1.3265306122449,2.6,2.6,,0,central_age,,,,,,,Cederbom2004
Boswil,B9,1817,30,14.7,0.96938775510204,0.96938775510204,1.9,1.9,,0,central_age,,,,,,,Cederbom2004
Huenenberg,H3,435,25,23.8,0.96938775510204,0.96938775510204,1.9,1.9,,14,central_age,,,,,,,Cederbom2004
Huenenberg,H5,875,25,27.7,1.42857142857143,1.42857142857143,2.8,2.8,,0,central_age,,,,,,,Cederbom2004
Huenenberg,H161,1100,18,23.7,1.63265306122449,1.63265306122449,3.2,3.2,,0,central_age,,,,,,,Cederbom2004
Huenenberg,H7,1320,25,30.4,2.14285714285714,2.14285714285714,4.2,4.2,,0,central_age,,,,,,,Cederbom2004
Huenenberg,H8,1550,26,20.2,1.27551020408163,1.27551020408163,2.5,2.5,,16,central_age,,,,,,,Cederbom2004
Huenenberg,H9,1807,30,18.4,0.96938775510204,0.96938775510204,1.9,1.9,,18,central_age,,,,,,,Cederbom2004
Huenenberg,H10,1995,30,9.5,0.56122448979592,0.56122448979592,1.1,1.1,,21,central_age,,,,,,,Cederbom2004
Huenenberg,H163,2388,20,3.6,0.25510204081633,0.25510204081633,0.5,0.5,,5,central_age,,,,,,,Cederbom2004
Rigi,R170,660,40,29.3,2.29591836734694,2.29591836734694,4.5,4.5,,0,central_age,,,,,,,Cederbom2004
Rigi,R172,1380,23,26.4,1.83673469387755,1.83673469387755,3.6,3.6,,0,central_age,,,,,,,Cederbom2004
Rigi,R174,2000,24,15.8,1.68367346938776,1.68367346938776,3.3,3.3,,0,central_age,,,,,,,Cederbom2004
Weggis,W137,620,8,4.8,0.56122448979592,0.56122448979592,1.1,1.1,,77,central_age,,,,,,,Cederbom2004
Weggis,W138,1485,40,7.8,0.45918367346939,0.45918367346939,0.9,0.9,,0,central_age,,,,,,,Cederbom2004
Weggis,W139,2135,29,4.7,0.30612244897959,0.30612244897959,0.6,0.6,,2,central_age,,,,,,,Cederbom2004
Altishofen,A193,193,20,33,3.21428571428571,3.97959183673469,6.3,7.8,,0,central_age,,,,,,,Cederbom2011
Altishofen,A956,956,49,24.8,1.37755102040816,1.53061224489796,2.7,3,,0,central_age,,,,,,,Cederbom2011
Altishofen,A1190,1190,60,30.8,3.21428571428571,4.03061224489796,6.3,7.9,,0,central_age,,,,,,,Cederbom2011
Altishofen,A1281,1281,60,31.2,1.68367346938776,1.78571428571429,3.3,3.5,,0,central_age,,,,,,,Cederbom2011
Boswil,B9rec,1817,45,12.7,1.47959183673469,1.88775510204082,2.9,3.7,,0,central_age,,,,,,,Cederbom2011
Chapelle,Ch1,296,22,30.9,4.13265306122449,5.56122448979592,8.1,10.9,,0,central_age,,,,,,,Cederbom2011
Chapelle,Ch2,517,8,26.4,2.29591836734694,2.75510204081633,4.5,5.4,,77,central_age,,,,,,,Cederbom2011
Chapelle,Ch3,667,20,28.3,1.78571428571429,2.04081632653061,3.5,4,,33,central_age,,,,,,,Cederbom2011
Chapelle,Ch4,1041,5,29.9,3.77551020408163,5,7.4,9.8,,82,central_age,,,,,,,Cederbom2011
Chapelle,Ch5,1201,33,27,2.04081632653061,2.39795918367347,4,4.7,,2,central_age,,,,,,,Cederbom2011
Chapelle,Ch6,1336,13,21.4,2.39795918367347,3.11224489795918,4.7,6.1,,22,central_age,,,,,,,Cederbom2011
Entlebuch_t,E8,395,49,24.2,2.29591836734694,2.80612244897959,4.5,5.5,,0,central_age,,,,,,,Cederbom2011
Entlebuch_t,E20,1000,60,25.5,2.39795918367347,2.95918367346939,4.7,5.8,,0,central_age,,,,,,,Cederbom2011
Entlebuch_t,E26,1300,60,24.5,1.98979591836735,2.39795918367347,3.9,4.7,,0,central_age,,,,,,,Cederbom2011
Entlebuch,E32,1600,60,20.8,1.47959183673469,1.73469387755102,2.9,3.4,,0,central_age,,,,,,,Cederbom2011
Entlebuch,E36,1800,60,11.5,1.3265306122449,1.68367346938776,2.6,3.3,,0,central_age,,,,,,,Cederbom2011
Entlebuch,E42,2100,55,15.6,1.83673469387755,2.39795918367347,3.6,4.7,,0,central_age,,,,,,,Cederbom2011
Entlebuch,E2-1,2430,24,4.3,0.56122448979592,0.81632653061224,1.1,1.6,,69,central_age,,,,,,,Cederbom2011
Entlebuch,E2-2,2710,12,3,0.51020408163265,0.81632653061224,1,1.6,,83,central_age,,,,,,,Cederbom2011
Huenenberg,H10rec,1995,59,4.6,0.61224489795918,0.81632653061224,1.2,1.6,,0.4,central_age,,,,,,,Cederbom2011
Lindau,La2,360,26,40.5,5.66326530612245,7.75510204081633,11.1,15.2,,0,central_age,,,,,,,Cederbom2011
Lindau,La3,610,44,29,2.75510204081633,3.36734693877551,5.4,6.6,,0,central_age,,,,,,,Cederbom2011
Lindau,La5,1085,57,23.1,1.3265306122449,1.47959183673469,2.6,2.9,,0,central_age,,,,,,,Cederbom2011
Lindau,La6,1310,49,20.3,1.83673469387755,2.19387755102041,3.6,4.3,,0,central_age,,,,,,,Cederbom2011
