well,sample,depth,n,aft_age,95ci_minus,95ci_plus,percentage,population_grains,P_X2,ref,data_type,length_mean,length_std,n_lengths
Altishofen,A193,193,20,30.7,4.6,4,93,18.6,,Cederbom2011,age_population,,,
Altishofen,A193,193,20,76,40,26.4,7,1.4,,Cederbom2011,age_population,,,
Altishofen,A956,956,49,23.8,2.3,2.1,98,48.02,,Cederbom2011,age_population,,,
Altishofen,A956,956,49,143.4,136.8,70.4,2,0.98,,Cederbom2011,age_population,,,
Altishofen,A1190,1190,60,23.7,2.4,2.2,87,52.2,,Cederbom2011,age_population,,,
Altishofen,A1190,1190,60,52.4,17.7,13.2,8,4.8,,Cederbom2011,age_population,,,
Altishofen,A1190,1190,60,191.4,34.4,29.2,5,3,,Cederbom2011,age_population,,,
Altishofen,A1281,1281,60,29.3,2.7,2.5,95,57,,Cederbom2011,age_population,,,
Altishofen,A1281,1281,60,63.8,16.3,13,5,3,,Cederbom2011,age_population,,,
Boswil,B9rec,1817,45,7.3,2.8,2,75,33.75,,Cederbom2011,age_population,,,
Boswil,B9rec,1817,45,28.4,17.5,10.8,25,11.25,,Cederbom2011,age_population,,,
Chapelle,Ch1,297,22,28.9,4.6,4,95,20.9,,Cederbom2011,age_population,,,
Chapelle,Ch2,297,22,155,53,39.6,5,1.1,,Cederbom2011,age_population,,,
Chapelle,Ch5,1201,32,23.6,5.2,4.3,67,21.44,,Cederbom2011,age_population,,,
Chapelle,Ch5,1201,32,37.1,11.5,8.8,33,10.56,,Cederbom2011,age_population,,,
Entlebuch,E8,395,49,21.3,2.5,2.2,96,47.04,,Cederbom2011,age_population,,,
Entlebuch,E8,395,49,124.9,26,21.5,4,1.96,,Cederbom2011,age_population,,,
Entlebuch,E20,1000,60,22.9,2.4,2.2,96,57.6,,Cederbom2011,age_population,,,
Entlebuch,E20,1000,60,83.7,29.7,22,2,1.2,,Cederbom2011,age_population,,,
Entlebuch,E20,1000,60,231.5,71.8,55,2,1.2,,Cederbom2011,age_population,,,
Entlebuch,E26,1300,60,22,2.8,2.5,94,56.4,,Cederbom2011,age_population,,,
Entlebuch,E26,1300,60,41,38.8,20,5,3,,Cederbom2011,age_population,,,
Entlebuch,E26,1300,60,165.5,73,50.9,1,0.6,,Cederbom2011,age_population,,,
Entlebuch,E32,1600,60,10,4.7,3.2,24,14.4,,Cederbom2011,age_population,,,
Entlebuch,E32,1600,60,19.4,5.3,4.2,46,27.6,,Cederbom2011,age_population,,,
Entlebuch,E32,1600,60,32.7,7.4,6,30,18,,Cederbom2011,age_population,,,
Entlebuch,E36,1800,60,3.9,2.1,1.4,51,30.6,,Cederbom2011,age_population,,,
Entlebuch,E36,1800,60,12.2,5.2,3.6,24,14.4,,Cederbom2011,age_population,,,
Entlebuch,E36,1800,60,28.4,5.2,4.4,25,15,,Cederbom2011,age_population,,,
Entlebuch,E42,2100,55,13.2,1.5,1.4,94,51.7,,Cederbom2011,age_population,,,
Entlebuch,E42,2100,55,77.7,16,13,6,3.3,,Cederbom2011,age_population,,,
Huenenberg,H10rec,1995,59,3.4,1.3,0.9,86,50.74,,Cederbom2011,age_population,,,
Huenenberg,H10rec,1995,59,12.5,5.9,4,14,8.26,,Cederbom2011,age_population,,,
Lindau,La2,360,26,27.8,4.6,4,85,22.1,,Cederbom2011,age_population,,,
Lindau,La2,360,26,142.2,50,37,15,3.9,,Cederbom2011,age_population,,,
Lindau,La3,610,44,15.2,5.1,3.8,35,15.4,,Cederbom2011,age_population,,,
Lindau,La3,610,44,28.6,7.7,6.1,43,18.92,,Cederbom2011,age_population,,,
Lindau,La3,610,44,48.8,14.8,11.4,20,8.8,,Cederbom2011,age_population,,,
Lindau,La3,610,44,136.7,75.9,49,2,0.88,,Cederbom2011,age_population,,,
Lindau,La5,1085,57,19.6,3.6,3,66,37.62,,Cederbom2011,age_population,,,
Lindau,La5,1085,57,30.5,9,6.9,34,19.38,,Cederbom2011,age_population,,,
Lindau,La6,1310,49,16.1,3.2,2.6,77,37.73,,Cederbom2011,age_population,,,
Lindau,La6,1310,49,27.5,16.4,10.3,18,8.82,,Cederbom2011,age_population,,,
Lindau,La6,1310,49,77.7,25.8,19.4,5,2.45,,Cederbom2011,age_population,,,
Lindau,La8,1625,60,8.7,2.4,1.9,61,36.6,,Cederbom2011,age_population,,,
Lindau,La8,1625,60,22,5.1,4.2,39,23.4,,Cederbom2011,age_population,,,
Lindau,La10,2374,30,1.1,0.9,0.5,35,10.5,,Cederbom2011,age_population,,,
Lindau,La10,2374,30,4.5,1,0.8,65,19.5,,Cederbom2011,age_population,,,
Linden,LE2,607,40,18.3,9.6,6.3,34,13.6,,Cederbom2011,age_population,,,
Linden,LE2,607,40,28.7,9.3,7,61,24.4,,Cederbom2011,age_population,,,
Linden,LE2,607,40,65.3,23,17,5,2,,Cederbom2011,age_population,,,
Linden,LE3,955,33,25.3,3.4,3,92,30.36,,Cederbom2011,age_population,,,
Linden,LE3,955,33,54.8,44.2,24.5,8,2.64,,Cederbom2011,age_population,,,
Linden,LE4,1288,41,31,3.6,3.2,95,38.95,,Cederbom2011,age_population,,,
Linden,LE4,1288,41,102.1,72,42.4,5,2.05,,Cederbom2011,age_population,,,
Linden,LE5,1687,50,19.7,5.9,4.5,60,30,,Cederbom2011,age_population,,,
Linden,LE5,1687,50,33.4,11.3,8.5,40,20,,Cederbom2011,age_population,,,
Linden,LE6,1977,21,17.1,5.4,4.1,76,15.96,,Cederbom2011,age_population,,,
Linden,LE6,1977,21,29.8,25.5,13.8,24,5.04,,Cederbom2011,age_population,,,
Linden,LE7,2329,21,3.9,5.7,2.3,26,5.46,,Cederbom2011,age_population,,,
