strat_unit,age_bottom,age_top,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,provenance_age_start_3,provenance_age_end_3,provenance_age_start_4,provenance_age_end_4,conglomerate,sand,silt,clay,carbonate,dolomite,marl,anhydrite,halite,coal,peat,gneiss
Quaternary,2.2,0,70,68,70,1,30,28,30,1,0.45,0.45,0,0.1,0,0,0,0,0,0,0,0
OMM,20.43,15.97,70,68,70,1,30,28,30,1,0.1,0.72,0.05,0.05,0.08,0,0,0,0,0,0,0
OSM,11.6,7.2,70,68,70,1,30,28,30,1,0.1,0.3,0.3,0.1,0.2,0,0,0,0,0,0,0
USM1,25.3,23.8,70,68,70,1,30,28,30,1,0,0,0,0,0,0,0,0,0,0,0,0
USM1AB,24.3,23.8,70,68,70,1,30,28,30,1,0,0.45,0,0.45,0.1,0,0,0,0,0,0,0
USM1B,24.8,24.3,70,68,70,1,30,28,30,1,0,0.25,0,0.35,0.4,0,0,0,0,0,0,0
USM1C,25.3,24.8,70,68,70,1,30,28,30,1,0,0.3,0,0.2,0.5,0,0,0,0,0,0,0
USM2,26.9,25.3,70,68,70,1,30,28,30,1,0,0.75,0,0,0.25,0,0,0,0,0,0,0
USM3,28.5,26.9,70,68,70,1,30,28,30,1,0,0.33,0,0.33,0.34,0,0,0,0,0,0,0
Entlebuch_thrust,20,10,70,68,70,1,30,28,30,1,0,0.33,0,0.33,0.34,0,0,0,0,0,0,0
USM_aq,23.03,20.43,70,68,70,1,30,28,30,1,0,0.33,0.2,0.23,0.19,0,0,0.05,0,0,0,0
USM_ru,33.9,28.4,70,68,70,1,30,28,30,1,0,0.19,0.2,0.23,0.33,0,0,0.05,0,0,0,0
Savigny_thrust_1,28.4,28.4,70,68,70,1,30,28,30,1,0,0.19,0.2,0.23,0.33,0,0,0.05,0,0,0,0
Savigny_thrust_2,23.03,20.43,70,68,70,1,30,28,30,1,0,0.19,0.2,0.23,0.33,0,0,0.05,0,0,0,0
Thun_cgl_ch,24.35,23.03,70,68,70,1,30,28,30,1,1,0,0,0,0,0,0,0,0,0,0,0
Thun_mix,25.7,24.35,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM_ch,27.05,25.7,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
Thun_mix2,28.4,27.05,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM_ch_aq,28.4,20.43,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
Kimm,155.6,150.8,330,328,330,1,300,298,300,1,0,0,0,0,1,0,0,0,0,0,0,0
Base,251,250,70,68,70,1,30,28,30,1,0,0,0,0,0,0,0,0,0,0,0,1
USM_aq_Alt,22,20.43,70,68,70,1,30,28,30,1,0,0.33,0.2,0.23,0.19,0,0,0.05,0,0,0,0
USM_ch_aq_Alt,25,22,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
USM_ch_Alt,28.4,25,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
USM_Rigi1,25,23.03,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM_Rigi2,26.7,25,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM_Rigi3,28.4,26.7,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM_ch_S1,26,23.03,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
USM_ch_S2,28.4,26,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
USM_ch_aq_W1,24.4,20.43,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
USM_ch_aq_W2,28.4,24.4,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
