well,depth_top,depth_bottom,strat_unit,lower_contact
Entlebuch,0,29.5,Quaternary,normal
Entlebuch_thrust,29.5,85,USM2,thrust
Entlebuch_thrust,85,175,USM1B,stratigraphic
Entlebuch_thrust,175,250,USM1C,thrust
Entlebuch_thrust,250,782,USM1B,stratigraphic
Entlebuch_thrust,782,880,USM1C,thrust
Entlebuch_thrust,880,1195,USM1B,thrust
Entlebuch_thrust,1195,1445,USM2,thrust
Entlebuch_thrust,1445,1550,USM1C,main_thrust
Entlebuch,29.5,1550,Entlebuch_thrust,main_thrust
Entlebuch,1550,1742,USM1AB,stratigraphic
Entlebuch,1742,1930,USM1C,stratigraphic
Entlebuch,1930,3900,USM2,stratigraphic
Entlebuch,3900,4343.5,USM3,stratigraphic
