well,sample_id,depth_top,depth_bottom,depth,aft_age,aft_age_min_95ci,aft_age_plus_95ci,Dpar
BKZ-01,BKZ01-1,1000,1110,1055,182.8521118164,-153.1773834229,880.8995361328,
BKZ-01,BKZ01-1,1000,1110,1055,96.0478057861,-37.1073760986,60.1878509521,
BKZ-01,BKZ01-1,1000,1110,1055,92.0742492676,-82.9033889771,782.8423461914,
BKZ-01,BKZ01-1,1000,1110,1055,111.6345291138,-24.7614192963,31.7410774231,
BKZ-01,BKZ01-2,1349,1399,1374,249.6246948242,-149.7737426758,363.9879150391,
BKZ-01,BKZ01-2,1349,1399,1374,259.8188781738,-133.3372802734,268.2617797852,
BKZ-01,BKZ01-2,1349,1399,1374,237.9544219971,-159.3571166992,465.2919921875,
BKZ-01,BKZ01-2,1349,1399,1374,429.7538146973,-211.871673584,404.9852294922,
BKZ-01,BKZ01-2,1349,1399,1374,276.7734680176,-188.8881835938,569.0524291992,
BKZ-01,BKZ01-2,1349,1399,1374,353.7173461914,-141.1367340088,230.6872558594,
BKZ-01,BKZ01-2,1349,1399,1374,179.2840576172,-103.1253890991,238.3158416748,
BKZ-01,BKZ01-2,1349,1399,1374,226.4074554443,-99.7642364502,175.9398803711,
BKZ-01,BKZ01-2,1349,1399,1374,366.452545166,-285.5553588867,1179.0964355469,
BKZ-01,BKZ01-2,1349,1399,1374,276.7734680176,-76.8295669556,105.4886016846,
BKZ-01,BKZ01-2,1349,1399,1374,235.6902923584,-67.6246643066,94.1471328735,
BKZ-01,BKZ01-2,1349,1399,1374,429.7538146973,-211.871673584,404.9852294922,
BKZ-01,BKZ01-2,1349,1399,1374,321.7689208984,-174.8074188232,371.8480224609,
BKZ-01,BKZ01-2,1349,1399,1374,263.1451721191,-55.3839607239,69.7711181641,
BKZ-01,BKZ01-2,1349,1399,1374,194.2265625,-53.3827514648,73.2003479004,
BKZ-01,BKZ01-2,1349,1399,1374,351.592376709,-164.2714996338,301.2183227539,
BKZ-01,BKZ01-2,1349,1399,1374,476.8252258301,-243.8161621094,480.6846923828,
BKZ-01,BKZ01-2,1349,1399,1374,252.0974884033,-146.6819610596,341.599395752,
BKZ-01,BKZ01-2,1349,1399,1374,0,0,797.0401611328,
BKZ-01,BKZ01-2,1349,1399,1374,321.7689208984,-119.2317733765,186.7073364258,
BKZ-01,BKZ01-3,2291,2294,2292.5,152.2448425293,-72.5409240723,137.0976715088,
BKZ-01,BKZ01-3,2291,2294,2292.5,166.4106903076,-51.6428222656,74.4506530762,
BKZ-01,BKZ01-3,2291,2294,2292.5,133.4779205322,-29.8396034241,38.3172607422,
BKZ-01,BKZ01-3,2291,2294,2292.5,189.6890716553,-50.6772193909,68.784866333,
BKZ-01,BKZ01-3,2291,2294,2292.5,118.5701828003,-25.6791744232,32.6951904297,
BKZ-01,BKZ01-3,2291,2294,2292.5,176.8616485596,-42.6298217773,55.9259414673,
BKZ-01,BKZ01-3,2291,2294,2292.5,124.9103469849,-27.4566078186,35.0967712402,
BKZ-01,BKZ01-3,2291,2294,2292.5,60.2590522766,-17.987493515,25.5907764435,
BKZ-01,BKZ01-3,2291,2294,2292.5,176.5393829346,-45.1978683472,60.4681015015,
BKZ-01,BKZ01-3,2291,2294,2292.5,393.4305725098,-119.7820053101,169.9692840576,
BKZ-01,BKZ01-3,2291,2294,2292.5,135.3416595459,-45.1933937073,67.4961776733,
BKZ-01,BKZ01-3,2291,2294,2292.5,178.7565765381,-43.4257659912,57.1077156067,
BKZ-01,BKZ01-3,2291,2294,2292.5,106.4352493286,-24.5818386078,31.8853378296,
BKZ-01,BKZ01-3,2291,2294,2292.5,19.441696167,-8.6305246353,15.5016021729,
BKZ-01,BKZ01-3,2291,2294,2292.5,126.7617111206,-27.0303478241,34.2654457092,
BKZ-01,BKZ01-3,2291,2294,2292.5,248.8744812012,-99.3632278442,163.3208007813,
BKZ-01,BKZ01-3,2291,2294,2292.5,7.5479826927,-3.3062057495,5.8805084229,
BKZ-01,BKZ01-3,2291,2294,2292.5,8.7614908218,-5.2582244873,13.1371583939,
BKZ-01,BKZ01-3,2291,2294,2292.5,35.8466949463,-19.0745773315,40.6394004822,
BKZ-01,BKZ01-3,2291,2294,2292.5,143.9424438477,-37.0199623108,49.6463470459,
BKZ-01,BKZ01-4,2491,2515,2503,66.4777069092,-18.2862606049,25.1758327484,
BKZ-01,BKZ01-4,2491,2515,2503,6.3985285759,-4.4206414223,14.2850799561,
BKZ-01,BKZ01-4,2491,2515,2503,39.6141967773,-17.4953594208,31.2578296661,
BKZ-01,BKZ01-4,2491,2515,2503,18.5348892212,-6.2352910042,9.3894386292,
BKZ-01,BKZ01-4,2491,2515,2503,2.5259389877,-1.3563559055,2.928645134,
BKZ-01,BKZ01-4,2491,2515,2503,0,0,5.1569576263,
BKZ-01,BKZ01-4,2491,2515,2503,76.8269271851,-29.4801139832,47.6593093872,
BKZ-01,BKZ01-4,2491,2515,2503,38.1938591003,-15.1104211807,24.9533824921,
BKZ-01,BKZ01-4,2491,2515,2503,0,0,21.8886394501,
BKZ-01,BKZ01-4,2491,2515,2503,62.9824485779,-24.6453800201,40.3624382019,
BKZ-01,BKZ01-4,2491,2515,2503,0,0,29.1683712006,
BKZ-01,BKZ01-4,2491,2515,2503,52.9356384277,-31.2953834534,76.103012085,
BKZ-01,BKZ01-4,2491,2515,2503,0,0,32.4011726379,
BKZ-01,BKZ01-4,2491,2515,2503,9.181429863,-4.2695870399,7.975962162,
BKZ-01,BKZ01-4,2491,2515,2503,7.5888957977,-5.7869348526,24.3255271912,
BKZ-01,BKZ01-4,2491,2515,2503,64.4477539063,-20.5513820648,30.1028156281,
BKZ-01,BKZ01-4,2491,2515,2503,28.8802223206,-11.1057415009,18.019569397,
BKZ-01,BKZ01-4,2491,2515,2503,75.2554321289,-16.2815189362,20.7431697845,
BKZ-01,BKZ01-4,2491,2515,2503,0,0,18.6333351135,
BKZ-01,BKZ01-4,2491,2515,2503,36.4398918152,-21.2332706451,50.6820144653,
HSW-01,HSW01-1,1133,1231,1182,289.8689880371,-99.975479126,150.8412628174,
HSW-01,HSW01-1,1133,1231,1182,428.2572937012,-180.0465698242,303.4424743652,
HSW-01,HSW01-1,1133,1231,1182,262.2213134766,-113.3828582764,196.7357635498,
HSW-01,HSW01-1,1133,1231,1182,216.6643676758,-100.1141738892,183.4824981689,
HSW-01,HSW01-1,1133,1231,1182,242.7772216797,-150.6326751709,385.1699523926,
HSW-01,HSW01-1,1133,1231,1182,328.4195556641,-152.0483703613,277.115020752,
HSW-01,HSW01-1,1133,1231,1182,239.0532836914,-124.2820739746,253.8163757324,
HSW-01,HSW01-1,1133,1231,1182,0,0,272.4915466309,
HSW-01,HSW01-1,1133,1231,1182,233.1343688965,-93.8020095825,155.0786590576,
HSW-01,HSW01-1,1133,1231,1182,182.9345550537,-153.2489624023,881.3536987305,
HSW-01,HSW01-1,1133,1231,1182,227.8685455322,-85.345375061,135.0330352783,
HSW-01,HSW01-3,1856,1875,1865.5,169.612411499,-130.0753326416,535.2012939453,
HSW-01,HSW01-3,1856,1875,1865.5,0,0,280.2581176758,
HSW-01,HSW01-3,1856,1875,1865.5,0,0,806.6791381836,
HSW-01,HSW01-3,1856,1875,1865.5,201.419708252,-138.7496337891,431.215057373,
HSW-01,HSW01-3,1856,1875,1865.5,280.2581176758,-263.4007263184,3342.2036132813,
HSW-01,HSW01-3,1856,1875,1865.5,156.3829956055,-66.5207214355,114.7381973267,
HSW-01,HSW01-3,1856,1875,1865.5,121.6053085327,-90.987411499,351.6186523438,
HSW-01,HSW01-3,1856,1875,1865.5,280.2581176758,-263.4007263184,3342.2036132813,
HSW-01,HSW01-3,1856,1875,1865.5,261.9485473633,-108.2270507813,181.845703125,
HSW-01,HSW01-3,1856,1875,1865.5,249.7131958008,-69.8900527954,96.3336410522,
HSW-01,HSW01-3,1856,1875,1865.5,0,0,415.9473876953,
HSW-01,HSW01-3,1856,1875,1865.5,289.7082519531,-118.7764053345,198.2458343506,
HSW-01,HSW01-3,1856,1875,1865.5,85.3639373779,-62.5176620483,229.46434021,
HSW-01,HSW01-4,2430,2431,2430.5,79.8342056274,-26.9432411194,40.5408744812,
HSW-01,HSW01-4,2430,2431,2430.5,5.6618447304,-4.9129872322,37.0387535095,
HSW-01,HSW01-4,2430,2431,2430.5,39.8151473999,-21.2516746521,45.4205436707,
HSW-01,HSW01-4,2430,2431,2430.5,30.9304523468,-20.1906967163,57.8885345459,
HSW-01,HSW01-4,2430,2431,2430.5,4.8268032074,-4.1866335869,31.4896850586,
HSW-01,HSW01-4,2430,2431,2430.5,6.9267539978,-5.2794704437,22.1618061066,
