well,depth,temperature,temperature_unc_1sigma,data_type
NER-71,1175,48.3,0.2,mineshaft
BEE-72,620,27,0.3,mineshaft
SWM-73,847,34,0.5,mineshaft
SWM-73,1035,43.6,0.2,mineshaft
SWM-73,1188,50.5,0.5,mineshaft
SWM-73,1357,58,0.2,mineshaft
SM-75,1328.7,60.7,0.2,mineshaft
RVR-76,661,30,0.2,mineshaft
RVR-76,916.9,39.4,0.2,mineshaft
RVR-76,996.7,42.5,0.5,mineshaft
RVR-76,1006.7,42.7,0.2,mineshaft
RVR-76,1072.5,45.5,0.5,mineshaft
RVR-76,1079.5,45.6,0.1,mineshaft
RVR-76,1082.5,45.8,0.2,mineshaft
RVR-76,1104.7,45.7,0.2,mineshaft
RVR-76,747.7,27.2,0.1,mineshaft
Elmpt,938.6,35.4,0.1,mineshaft
Elmpt,1177.9,46.5,0.1,mineshaft
OPL-16,643,30.63,1,mineshaft
OPL-16,750,34.13,1,mineshaft
OPL-16,850,37.13,1,mineshaft
OPL-16,893,39,1,mineshaft
OPL-16,1000,42,1,mineshaft
MS-WHM,706,33.5,1,mineshaft
MS-WHM,494,26.5,1,mineshaft
MS-WHM,322,19.3,1,mineshaft
MS-WHM,773,37.1,1,mineshaft
MS-WHM,773,37.1,1,mineshaft
MS-WHM,772,36.9,1,mineshaft
MS-WHM,772,36.9,1,mineshaft
MS-WHM,754,36,1,mineshaft
MS-WHM,754,36,1,mineshaft
MS-WHM,771,36.6,1,mineshaft
MS-WHM,771,36.6,1,mineshaft
MS-WHM,740,35.5,1,mineshaft
MS-WHM,737,35,1,mineshaft
MS-WHM,810,38.8,1,mineshaft
MS-WHM,834,38.6,1,mineshaft
MS-WHM,809,38,1,mineshaft
MS-WHM,810,38.5,1,mineshaft
MS-EMM,675,28.2,1,mineshaft
MS-EMM,678,29.4,1,mineshaft
MS-EMM,696,31,1,mineshaft
MS-EMM,700,31,1,mineshaft
MS-EMM,694,32,1,mineshaft
MS-EMM,875,39.1,1,mineshaft
MS-EMM,835,38.4,1,mineshaft
MS-EMM,794,37.2,1,mineshaft
MS-EMM,502,24.2,1,mineshaft
MS-EMM,492,24,1,mineshaft
MS-EMM,482,23.9,1,mineshaft
MS-EMM,656,27.5,1,mineshaft
MS-EMM,668,27.7,1,mineshaft
MS-EMM,750,30.3,1,mineshaft
MS-EMM,762,30.7,1,mineshaft
MS-EMM,685,27.5,1,mineshaft
MS-EMM,675,27.3,1,mineshaft
MS-MRT,381,20,1,mineshaft
MS-MRT,647,28.2,1,mineshaft
MS-MRT,635,29.2,1,mineshaft
MS-MRT,640,28.4,1,mineshaft
MS-MRT,384,18,1,mineshaft
MS-MRT,511,25.7,1,mineshaft
MS-MRT,532,23,1,mineshaft
MS-MRT,803,33.5,1,mineshaft
MS-MRT,803,33.5,1,mineshaft
MS-MRT,780,30,1,mineshaft
MS-MRT,781,29.9,1,mineshaft
MS-MRT,818,33.5,1,mineshaft
MS-MRT,818,32,1,mineshaft
MS-MRT,531,25.8,1,mineshaft
MS-MRT,531,25.9,1,mineshaft
MS-MRT,646,30,1,mineshaft
MS-MRT,646,29.6,1,mineshaft
MS-MRT,513,25.4,1,mineshaft
MS-MRT,601,27.7,1,mineshaft
MS-MRT,695,30.5,1,mineshaft
MS-MRT,792,34.2,1,mineshaft
MS-HND,715,29.5,1,mineshaft
MS-HND,548,27.5,1,mineshaft
MS-HND,715,35.8,1,mineshaft
MS-HND,727,36.3,1,mineshaft
MS-HND,736,35.5,1,mineshaft
MS-HND,685,30.5,1,mineshaft
MS-HND,837,40.4,1,mineshaft
MS-HND,538,24.5,1,mineshaft
MS-HND,618,26.6,1,mineshaft
MS-HND,835,36,1,mineshaft
MS-HND,835,36,1,mineshaft
MS-HND,707,32.5,1,mineshaft
MS-HND,726,32.3,1,mineshaft
MS-HND,636,26.4,1,mineshaft
MS-HND,633,24.5,1,mineshaft
MS-HND,627,26.2,1,mineshaft
MS-HND,615,27.2,1,mineshaft
MS-HND,831,35.8,1,mineshaft
MS-HND,831,35.8,1,mineshaft
MS-HND,835,37.6,1,mineshaft
MS-HND,835,37.6,1,mineshaft
MS-HND,629,24.8,1,mineshaft
MS-HND,846,36.8,1,mineshaft
MS-HND,846,36.9,1,mineshaft
MS-HND,664,34,1,mineshaft
MS-HND,837,38,1,mineshaft
MS-HND,837,38.2,1,mineshaft
MS-HND,830,39.7,1,mineshaft
MS-HND,852,37.7,1,mineshaft
MS-HND,506,22.5,1,mineshaft
MS-HND,786,38,1,mineshaft
MS-HND,786,37.9,1,mineshaft
AND-06,2238.83,101.8,3,DST
AND-06,2237.35,102.3,3,DST
OTL-01,2140.47,95.6,3,DST
WED-01,2684.7,111.7,3,DST
WWK-01,2708.34,108.4,3,DST
WWN-01,2781,108.9,3,DST
WWN-01,2668.29,103.6,3,DST
WWS-01,2681.94,106.6,3,DST
Leopoldsbu,1410,58,1,var
Hechtel-ho,1489,62,1,var
BeringenII,650,29.5,1,var
Eisden,82,15.1,1,mineshaft
Eisden,150,23,1,mineshaft
Eisden,190,21.8,1,mineshaft
Eisden,225,21.3,1,mineshaft
Eisden,270,19.2,1,mineshaft
Eisden,368,22.8,1,mineshaft
Eisden,440,23.7,1,mineshaft
Eisden,540,26.2,1,mineshaft
Eisden,785,41.3,1,mineshaft
Eisden,845,49.8,1,mineshaft
Eisden,970,59.3,1,mineshaft
Lommelsbro,675,26.5,1,log
Lommelsbro,1326,42,1,log
Winterslag,493,25,1,mineshaft
Winterslag,540,27.9,1,mineshaft
Winterslag,559,28.7,1,mineshaft
Winterslag,572,29.1,1,mineshaft
Winterslag,600,30.6,1,mineshaft
Winterslag,660,34,1,mineshaft
Winterslag,696,31,1,mineshaft
Winterslag,484,24,1,mineshaft
Waterschei,1100,49,1,var
ALM-01,1006,62,30,BHT
ALM-01,1006.6,62,30,BHT
ALM-01,2170.3,67,30,BHT
ALM-01,2365.5,69,30,BHT
ALM-01,2370,69,30,BHT
ALM-01,2370,69,30,BHT
AND-04,950.28,32,30,BHT
AND-04,1407.43,53,30,BHT
AND-04,1528.13,58,30,BHT
AND-04,1719.47,59,30,BHT
AND-06,1492.29,61,30,BHT
AND-06,1497,60,30,BHT
AND-06,1497,60,30,BHT
AND-06,1497,59,30,BHT
AND-06,1713.96,66,30,BHT
AND-06,1713.96,66,30,BHT
AND-06,1713.96,63,30,BHT
AND-06,2213.86,88,30,BHT
AND-06,2290.55,85,30,BHT
AND-06,2670.11,94,30,BHT
AND-06,2670.11,88,30,BHT
AND-06,2670.11,94,30,BHT
AND-06,2670.11,100,30,BHT
AND-06,2673.44,91,30,BHT
ARC-01,887.8,42,30,BHT
AST-02,1624,53.3,30,BHT
AST-02,1626,51.7,30,BHT
BKZ-01,2689.33,95.6,30,BHT
BKZ-01,2689.33,95.6,30,BHT
BKZ-01,2689.33,90.6,30,BHT
BKZ-01,2689.33,98.9,30,BHT
BKZ-01,2689.33,95.6,30,BHT
BKZ-01,2689.33,98.9,30,BHT
BKZ-01,1827.88,63,30,BHT
BKZ-01,2689.33,95.6,30,BHT
BRAK-01,2504.82,100,30,BHT
BRAK-01,2212.62,86,30,BHT
BRAK-01,2564.82,92,30,BHT
BRAK-01,2564.82,92,30,BHT
BRAK-01,1550.55,69,30,BHT
BRAK-01,1546.08,70,30,BHT
BRAK-01,1546.08,69.5,30,BHT
BRAK-01,1548.76,71,30,BHT
BRAK-01,2212.62,88,30,BHT
CAP-01,1655.93,66,30,BHT
CAP-01,1655.93,66,30,BHT
CAP-01,1655.93,66.5,30,BHT
CAP-01,1655.93,66.5,30,BHT
CAP-01,2903.81,76,30,BHT
CAP-01,2903.81,76,30,BHT
CAP-01,2903.81,80,30,BHT
CAP-01,3624.37,110,30,BHT
CAP-01,3624.37,113,30,BHT
BRK-04,398.52,-99999,30,BHT
BRK-04,398.52,-99999,30,BHT
BRK-04,1096.37,46,30,BHT
