well,depth,VR,VR_unc_1sigma,N_observations
BKZ-01,793,0.2899999917,,
BKZ-01,853,0.3199999928,,
BKZ-01,913,0.3199999928,,
BKZ-01,973,0.3400000036,,
BKZ-01,1033,0.3400000036,,
BKZ-01,1093,0.3899999857,,
BKZ-01,1143,0.4499999881,,
BKZ-01,1193,0.3700000048,,
BKZ-01,1243,0.349999994,,
BKZ-01,1293,0.3400000036,,
BKZ-01,1343,0.400000006,,
BKZ-01,1393,0.3000000119,,
BKZ-01,1443,0.4099999964,,
BKZ-01,1493,0.400000006,,
BKZ-01,1543,0.4399999976,,
BKZ-01,1592,0.4300000072,,
BKZ-01,1642,0.4399999976,,
BKZ-01,1692,0.4300000072,,
BKZ-01,1726,0.4900000095,,
BKZ-01,1729,0.4600000083,,
BKZ-01,1741,0.4499999881,,
BKZ-01,1791,0.5500000119,,
BKZ-01,1841,0.4300000072,,
BKZ-01,1891,0.4699999988,,
BKZ-01,1940,0.5299999714,,
BKZ-01,1990,0.7400000095,,
BKZ-01,2040,0.7400000095,,
BKZ-01,2089,0.5400000215,,
BKZ-01,2139,0.4699999988,,
BKZ-01,2188,0.5899999738,,
BKZ-01,2228,0.5400000215,,
Hengevelde,1113,0.7799999714,,
Hengevelde,1023,0.6399999857,,
Hengevelde,1275,0.7099999785,,
Hengevelde,1383,0.8100000024,,
Hengevelde,1499,0.8500000238,,
HSW-01,930,0.3199999928,0.0299999993,51
HSW-01,1794.5999755859,0.4499999881,0.0299999993,50
HSW-01,914,0.3199999928,,
HSW-01,1095,0.3600000143,,
HSW-01,1215,0.3700000048,,
HSW-01,1777,0.4499999881,,
HSW-01,1980,0.4900000095,,
HSW-01,2181,0.5400000215,,
HSW-01,1049.9300537109,0.3600000143,0.0900000036,20
HSW-01,1227.4599609375,0.3700000048,0.1199999973,16
HSW-01,1995.5799560547,0.4900000095,0.0399999991,4
HSW-01,2195.3400878906,0.5400000215,0.0199999996,3
HVB-01,1443.3800048828,0.6399999857,0.1000000015,36
HVB-01,1642.3399658203,0.5600000024,0.1299999952,33
HVB-01,1670.9100341797,0.5899999738,0.2099999934,29
HVB-01,1699.5500488281,0.6499999762,0.1599999964,46
