well,depth_top,depth_bottom,strat_unit
ALM-01,0,180,NUMS
ALM-01,180,392,NUOT
ALM-01,392,514,NUBA
ALM-01,514,565,NMVFO
ALM-01,565,575,NMVFV
ALM-01,575,660,NMRFC
ALM-01,660,669,NMRFV
ALM-01,669,734,NLFFY
ALM-01,734,739,NLFFD
ALM-01,739,760,NLLFC
ALM-01,760,767,NLLFS
ALM-01,767,1605,SLDNA
ALM-01,1605,1605,ATBR2
ALM-01,1605,1630,ATBR1
ALM-01x,1630,1630,FLT_R
ALM-01x,767,1852,SLDNA
ALM-01x,1852,1908,ATBRU
ALM-01x,1908,1933,ATBR3
ALM-01x,1933,1940,ATBRM
ALM-01x,1940,1977,ATBR2
ALM-01x,1977,2027,ATBRL
ALM-01x,2027,2102,ATBR1
ALM-01,2102,2285,ATWDU
ALM-01x,2285,2285,FAULT
ALM-01x,2285,2318,ATWDM
ALM-01x,2318,2370,ATWDL
AND-04,0,200,NUMS
AND-04,200,400,NUOT
AND-04,400,600,NUBA
AND-04,600,663,NMVFO
AND-04,663,680,NMVFV
AND-04,680,734.9981079102,NMRFC
AND-04,734.9981079102,851.9880371094,NLFFY
AND-04,851.9880371094,855.9876708984,NLFFD
AND-04,855.9876708984,890.9846191406,NLLFC
AND-04,890.9846191406,1373.7655029297,SLDNA
AND-04,1373.7655029297,1385.7517089844,ATBRU
AND-04,1385.7517089844,1398.7369384766,ATBR3
AND-04,1398.7369384766,1435.7053222656,ATBRM
AND-04,1435.7053222656,1465.6815185547,ATBR2
AND-04,1465.6815185547,1545.6182861328,ATBR1
AND-04,1545.6182861328,1650.5307617188,ATWDU
AND-04,1650.5307617188,1656.5250244141,XX
AND-04,1656.5250244141,1733.4521484375,ATWDU
AND-04,1733.4521484375,1813.3764648438,ATWDM
AND-04,1813.3764648438,1925.7700195313,ATWDL
AND-06,0,219.9900054932,NUMS
AND-06,219.9900054932,419.754486084,NUOT
AND-06,419.754486084,614.6900024414,NUBA
AND-06,614.6900024414,763.0629882813,NMVF
AND-06,763.0629882813,866.0050048828,NLFFY
AND-06x,905,910,NMRFC
AND-06,866.0050048828,896.3880004883,NLFFD
AND-06,896.3880004883,904.5300292969,NLLFC
AND-06,904.5300292969,1293.9699707031,SLDNA
AND-06,1293.9699707031,1299.1850585938,ATBRO
AND-06,1299.1850585938,1308.8039550781,ATBRU
AND-06,1308.8039550781,1319.8099365234,ATBR3
AND-06,1319.8099365234,1325.9930419922,ATBRM
AND-06,1325.9930419922,1335.7399902344,ATBR2
AND-06,1335.7399902344,1352.5250244141,ATBRL
AND-06,1352.5250244141,1392.7640380859,ATBR1
AND-06,1392.7640380859,1529.8740234375,ATWDU
AND-06,1529.8740234375,1593.6939697266,ATWDM
AND-06,1593.6939697266,1711.9499511719,ATWDL
AND-06,1711.9499511719,1742.0749511719,ATPO
AND-06,1742.0749511719,2176.3979492188,ATAL
AND-06,2176.3979492188,2213.8601074219,ATRT
AND-06,2213.8601074219,2221.6311035156,RNKPU
AND-06,2221.6311035156,2248.2622070313,RNKPD
AND-06,2248.2622070313,2258.15234375,RNKPR
AND-06,2258.15234375,2275.5944824219,RNMUA
AND-06,2275.5944824219,2283.9001464844,RNMUE
AND-06,2283.9001464844,2326.1079101563,RNMUL
AND-06,2326.1079101563,2357.2045898438,RNROY
AND-06,2357.2045898438,2381.9145507813,RNROF
AND-06,2381.9145507813,2421.4497070313,RNROL
AND-06,2421.4497070313,2431.0727539063,RNSOC
AND-06,2431.0727539063,2436.7590332031,RNSOB
AND-06,2436.7590332031,2446.8266601563,RBMH
AND-06,2446.8266601563,2473.5844726563,RBMDC
AND-06,2473.5844726563,2481.0415039063,RBMDL
AND-06,2481.0415039063,2609.1645507813,RBMVU
AND-06,2609.1645507813,2673.4399414063,RBMVL
ARC-01,0,38,NUCT
ARC-01,38,84.5,NUKO
ARC-01,84.5,253,NUBA
ARC-01,253,325,NMVF
