well,sample,depth,n_grains,aft_age,95ci_minus,95ci_plus,aft_age_stdev,P_X2,data_type,length_mean,length_std,n_lengths,Dpar_mean,Dpar_min,Dpar_max,ref
Herdern,,635,50,43,8,8,,0,central_age,12.27,1.62,50,,,,Mazurek2006
Herdern,,1225,20,35,4,4,,0,central_age,11.05,1.69,20,,,,Mazurek2006
Herdern,,1910.45,19,32,4,4,,24,central_age,13.86,1.44,19,,,,Mazurek2006
Herdern,,2121.15,3,3.9,0.7,0.7,,73,central_age,11.75,0.36,3,,,,Mazurek2006
Herdern,,2153.55,9,3.2,0.5,0.5,,89,central_age,10.95,2.74,9,,,,Mazurek2006
Boswil,B1,57,25,29.8,3.6,3.6,,0,central_age,,,,,,,Cederbom2004
Boswil,B3,492,25,33.3,4.8,4.8,,0,central_age,,,,,,,Cederbom2004
Boswil,B158,840,20,27.4,3.6,3.6,,0,central_age,,,,,,,Cederbom2004
Boswil,B5,850,25,28.6,2.8,2.8,,27,central_age,,,,,,,Cederbom2004
Boswil,B6,1092,25,21.6,2,2,,17,central_age,,,,,,,Cederbom2004
Boswil,B159,1275,26,26.9,2.5,2.5,,0,central_age,,,,,,,Cederbom2004
Boswil,B7,1312,25,23,2,2,,86,central_age,,,,,,,Cederbom2004
Boswil,B8,1507,25,23.4,2.6,2.6,,0,central_age,,,,,,,Cederbom2004
Boswil,B9,1817,30,14.7,1.9,1.9,,0,central_age,,,,,,,Cederbom2004
Huenenberg,H3,435,25,23.8,1.9,1.9,,14,central_age,,,,,,,Cederbom2004
Huenenberg,H5,875,25,27.7,2.8,2.8,,0,central_age,,,,,,,Cederbom2004
Huenenberg,H161,1100,18,23.7,3.2,3.2,,0,central_age,,,,,,,Cederbom2004
Huenenberg,H7,1320,25,30.4,4.2,4.2,,0,central_age,,,,,,,Cederbom2004
Huenenberg,H8,1550,26,20.2,2.5,2.5,,16,central_age,,,,,,,Cederbom2004
Huenenberg,H9,1807,30,18.4,1.9,1.9,,18,central_age,,,,,,,Cederbom2004
Huenenberg,H10,1995,30,9.5,1.1,1.1,,21,central_age,,,,,,,Cederbom2004
Huenenberg,H163,2388,20,3.6,0.5,0.5,,5,central_age,,,,,,,Cederbom2004
Rigi,R170,660,40,29.3,4.5,4.5,,0,central_age,,,,,,,Cederbom2004
Rigi,R172,1380,23,26.4,3.6,3.6,,0,central_age,,,,,,,Cederbom2004
Rigi,R174,2000,24,15.8,3.3,3.3,,0,central_age,,,,,,,Cederbom2004
Weggis,W137,620,8,4.8,1.1,1.1,,77,central_age,,,,,,,Cederbom2004
Weggis,W138,1485,40,7.8,0.9,0.9,,0,central_age,,,,,,,Cederbom2004
Weggis,W139,2135,29,4.7,0.6,0.6,,2,central_age,,,,,,,Cederbom2004
Altishofen,A193,193,20,33,6.3,7.8,,0,central_age,,,,,,,Cederbom2011
Altishofen,A956,956,49,24.8,2.7,3,,0,central_age,,,,,,,Cederbom2011
Altishofen,A1190,1190,60,30.8,6.3,7.9,,0,central_age,,,,,,,Cederbom2011
Altishofen,A1281,1281,60,31.2,3.3,3.5,,0,central_age,,,,,,,Cederbom2011
