lithology,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production
conglomerate,2650,0.3,0.000395,3.8,900,0.00000125
sand,2650,0.3,0.000395,3.8,900,0.00000125
silt,2650,0.42,0.000395,2.7,900,0.00000125
clay,2650,0.61,0.0009,2.5,900,0.00000125
carbonate,2650,0.49,0.00079,3.2,900,0.00000125
dolomite,2650,0.49,0.00079,3.2,900,0.00000125
marl,2650,0.49,0.00079,3.2,900,0.00000125
anhydrite,2650,0.05,1E-020,5.5,900,0.00000125
halite,2650,0.05,1E-020,5.5,900,0.00000125
coal,2650,0.05,1E-020,1,900,0.00000125
water,1025,0,0,0.65,4181,0.00000125
peat,2650,0.61,0.0009,1,900,0.00000125
gneiss,2650,0.05,1E-020,3.5,900,0.00000125
