strat_unit,age_bottom,age_top,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,provenance_age_start_3,provenance_age_end_3,provenance_age_start_4,provenance_age_end_4,conglomerate,sand,silt,clay,carbonate,dolomite,marl,anhydrite,halite,coal,peat,gneiss
Quaternary,1.8,0,70,68,70,1,30,28,30,1,0.45,0.45,0,0.1,0,0,0,0,0,0,0,0
OSM,17.25,13,70,68,70,1,30,28,30,1,0.1,0.3,0.3,0.1,0.2,0,0,0,0,0,0,0
OMM,19,17.25,70,68,70,1,30,28,30,1,0.1,0.72,0.05,0.05,0.08,0,0,0,0,0,0,0
USM,28.4,20.43,70,68,70,1,30,28,30,1,0,0.5,0.2,0.2,0.1,0,0,0,0,0,0,0
USM-II,23.03,20.43,70,68,70,1,30,28,30,1,0,0.33,0.2,0.23,0.19,0,0,0.05,0,0,0,0
USM-I-II,28.4,20.43,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
USM-I,25.3,23.8,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
USM-Ie,24.3,23.8,70,68,70,1,30,28,30,1,0,0.45,0,0.45,0.1,0,0,0,0,0,0,0
USM-Id,24.8,24.3,70,68,70,1,30,28,30,1,0,0.25,0,0.35,0.4,0,0,0,0,0,0,0
USM-Ic,25.3,24.8,70,68,70,1,30,28,30,1,0,0.3,0,0.2,0.5,0,0,0,0,0,0,0
USM-Ib,26.9,25.3,70,68,70,1,30,28,30,1,0,0.75,0,0,0.25,0,0,0,0,0,0,0
USM-Ia,28.5,26.9,70,68,70,1,30,28,30,1,0,0.33,0,0.33,0.34,0,0,0,0,0,0,0
USM-Ia_unkown,33.9,28.4,70,68,70,1,30,28,30,1,0,0.19,0.2,0.23,0.33,0,0,0.05,0,0,0,0
USM-II_Alt,22,20.43,70,68,70,1,30,28,30,1,0,0.33,0.2,0.23,0.19,0,0,0.05,0,0,0,0
USM-I-II_Alt,25,22,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
USM-I_Alt,28.4,25,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
USM-Ic_Rigi,25,23.03,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM-Ib_Rigi,26.7,25,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM-Ia_Rigi,28.4,26.7,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM-Ic_Sav,26,23.03,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
USM-Ib_Sav,27.05,26,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
USM-Ia_Sav,28.4,27.05,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
USM-Id_Thun,24.35,23.03,70,68,70,1,30,28,30,1,1,0,0,0,0,0,0,0,0,0,0,0
USM-Ic_Thun,25.7,24.35,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM-Ib_Thun,27.05,25.7,70,68,70,1,30,28,30,1,0.08,0.19,0.2,0.23,0.25,0,0,0.05,0,0,0,0
USM-Ia_Thun,28.4,27.05,70,68,70,1,30,28,30,1,0.5,0,0.2,0.3,0,0,0,0,0,0,0,0
USM-II_Weg,24.4,20.43,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
USM_I_Weg,28.4,24.4,70,68,70,1,30,28,30,1,0.05,0.28,0.05,0.37,0.2,0,0,0.05,0,0,0,0
UMM,36,28.4,70,68,70,1,30,28,30,1,0,0.7,0.15,0.15,0,0,0,0,0,0,0,0
Kimm,155.6,150.8,330,328,330,1,300,298,300,1,0,0,0,0,1,0,0,0,0,0,0,0
Base,251,250,70,68,70,1,30,28,30,1,0,0,0,0,0,0,0,0,0,0,0,1
Entlebuch_thrust,20,10,70,68,70,1,30,28,30,1,0,0.33,0,0.33,0.34,0,0,0,0,0,0,0
Savigny_thrust_1,28.4,28.4,70,68,70,1,30,28,30,1,0,0.19,0.2,0.23,0.33,0,0,0.05,0,0,0,0
Savigny_thrust_2,23.03,20.43,70,68,70,1,30,28,30,1,0,0.19,0.2,0.23,0.33,0,0,0.05,0,0,0,0
thrust_sheet_1,20,15,70,68,70,1,30,28,30,1,0,0.33,0,0.33,0.34,0,0,0,0,0,0,0
thrust_sheet_2,15,13,70,68,70,1,30,28,30,1,0,0.5,0.2,0.2,0.1,0,0,0,0,0,0,0
