well,depth_top,depth_bottom,strat_unit
AST-02,0,175,NUKO
AST-02,175,340,NUOT
AST-02,340,778,NUBAU
AST-02,778,857,NUVIH
AST-02,857,940,NUBAL
AST-02,940,992,NMVFS
AST-02,992,1173,NMVFO
AST-02,1173,1401,NMVFV
AST-02,1401,1415,NMRFT
AST-02,1415,1494,NMRFC
AST-02,1494,1513.5,NMRFV
AST-02,1513.5,1558,NLLFR
AST-02,1558,1586,NLLFC
AST-02,1586,1606.5,NLLFG
AST-02,1606.5,1632,NLLFS
AST-02,1632,1635.5,NLLFL
AST-02,1635.5,1673,CKHM
BKZ-01,0,176.999206543,NUKO
BKZ-01,176.999206543,314.9899902344,NUOT
BKZ-01,314.9899902344,759.9899902344,NUBA
BKZ-01,759.9899902344,867.9799804688,NMVF
BKZ-01,867.9799804688,965.9799804688,NMRF
BKZ-01,965.9799804688,1028.9799804688,NLFF
BKZ-01,1028.9799804688,1106.9741210938,NLLFC
BKZ-01,1106.9741210938,1118.4699707031,NLLFG
BKZ-01,1118.4699707031,1122.9699707031,NLLFS
BKZ-01,1122.9699707031,1149.9699707031,CKHM
BKZ-01,1149.9699707031,1177.9678955078,CKGR
BKZ-01,1177.9678955078,1223.9599609375,ATBR3
BKZ-01,1223.9599609375,1269.9599609375,ATBRM
BKZ-01,1269.9599609375,1302.9599609375,ATBR2
BKZ-01,1302.9599609375,1347.9588623047,ATBRL
BKZ-01,1347.9588623047,1411.9228515625,ATBR1
BKZ-01,1411.9228515625,1543.6175537109,ATWDU
BKZ-01,1543.6175537109,1583.3922119141,ATWDM
BKZ-01,1583.3922119141,1852.75,ATWDL
BKZ-01,1852.75,1883.5910644531,ATPO
BKZ-01,1883.5910644531,2122.814453125,ATAL
BKZ-01,2122.814453125,2168.322265625,ATRT
BKZ-01,2168.322265625,2190.1042480469,RNMUA
BKZ-01,2190.1042480469,2200.0048828125,RNMUE
BKZ-01,2200.0048828125,2257.3576660156,RNMUL
BKZ-01,2257.3576660156,2275.0930175781,RNROY
BKZ-01,2275.0930175781,2343.9760742188,RNROF
BKZ-01,2343.9760742188,2400.0502929688,RNROL
BKZ-01,2400.0502929688,2406.9243164063,RNSOC
BKZ-01,2406.9243164063,2418.7084960938,RNSOB
BKZ-01,2418.7084960938,2449.1564941406,RBMH
BKZ-01,2449.1564941406,2462.9157714844,RBMDC
BKZ-01,2462.9157714844,2511.1342773438,RBMDL
BKZ-01,2511.1342773438,2619.4267578125,RBMVU
BKZ-01,2619.4267578125,2666.7199707031,RBMVL
BKZ-01,2666.7199707031,2690.3200683594,RBSHR
KDK-01,0,246,NUCT
KDK-01,246,476.9588623047,NUOT
KDK-01,476.9588623047,953.7100219727,NUBA
KDK-01,953.7100219727,1033.5789794922,NMVFO
KDK-01,1033.5789794922,1170.416015625,NMRF
KDK-01,1170.416015625,1212.8620605469,NLLFC
KDK-01,1212.8620605469,1222.0699462891,NLLFG
KDK-01,1222.0699462891,1226.6700439453,NLLFS
KDK-01,1226.6700439453,1233.5655517578,CKHM
KDK-01,1233.5655517578,1262.4020996094,ATBRM
KDK-01,1262.4020996094,1278.8260498047,ATBR2
KDK-01,1278.8260498047,1358.2463378906,ATBRL
KDK-01,1358.2463378906,1442.365234375,ATWDU
KDK-01,1442.365234375,1497.9951171875,ATWDM
KDK-01,1497.9951171875,1555.8488769531,ATWDL
KDK-01x,1620,1620,FAULT
KDK-01,1555.8488769531,1656.1800537109,ATAL
KDK-01,1656.1800537109,1679.9924316406,ATRT
KDK-01,1679.9924316406,1693.2849121094,RNKPD
KDK-01,1693.2849121094,1695.1822509766,RNKPR
KDK-01,1695.1822509766,1727.318359375,RNMUU
KDK-01,1727.318359375,1750.8493652344,RNMUA
KDK-01,1750.8493652344,1772.4320068359,RNMUE
KDK-01,1772.4320068359,1851.5595703125,RNMUL
KDK-01,1851.5595703125,1878.3801269531,RNROY
KDK-01,1878.3801269531,1917.0782470703,RNROF
KDK-01,1917.0782470703,1985.5489501953,RNROL
KDK-01,1985.5489501953,1989.0848388672,RNSOC
KDK-01,1989.0848388672,1999.6922607422,RNSOB
KDK-01,1999.6922607422,2027.6071777344,RBMH
KDK-01,2027.6071777344,2046.5084228516,RBMDC
KDK-01,2046.5084228516,2054.9445800781,RBMDL
KDK-01,2054.9445800781,2116.4375,RBMVU
KDK-01,2116.4375,2157.1491699219,RBMVL
KDK-01,2157.1491699219,2190.1594238281,RBSH
NDW-01,0,131,NUCT
NDW-01,131,372,NUKO
NDW-01,372,765,NUBAU
NDW-01,765,803,NUVI
NDW-01,803,902,NUBAL
NDW-01,902,942,NMVFS
NDW-01,942,1061,NMVFO
NDW-01,1061,1275,NMVFV
NDW-01,1275,1297,NMRFT
NDW-01,1297,1373,NMRFC
NDW-01,1373,1397,NMRFV
NDW-01,1397,1458,NLLFC
NDW-01,1458,1483,NLLFG
NDW-01,1483,1526,NLLFS
NDW-01,1526,1531,NLLFL
NDW-01,1531,1583,CKHM
NDW-01x,1583,1603,CKGR
NDW-01,1603,1608,ATAL
NDW-01,1600,1631,ATRT
NDW-01x,1608,1631,ATRT
NDW-01,1631,1648,RNKPU
NDW-01,1648,1651,RNKPD
NDW-01,1631,1656,RNKPC
NDW-01,1651,1656,RNKPM
NDW-01,1656,1706,RNMUU
NDW-01,1706,1747,RNMUA
NDW-01,1747,1767,RNMUE
NDW-01,1767,1870,RNMUL
NDW-01,1870,1917,RNROY
NDW-01,1917,1963,RNROF
NDW-01,1963,2016,RNROL
NDW-01,2016,2030,RNSOC
NDW-01,2030,2035,RNSOB
NDW-01,2035,2092,RBMH
NDW-01x,2035,2094,RBMH
NDW-01,2092,2111,RBMDU
NDW-01x,2094,2111,RBMDU
NDW-01,2111,2120,RBMDL
NDW-01,2120,2215,RBMVU
NDW-01,2215,2237,RBMVL
NDW-01,2237,2280,RBSHR
NDW-01,2280,2572,RBSHN
NDW-01,2572,2583,ZEUC
NDW-01,2572,2584,ZEUC
NDW-01,2583,2592,ZEZ3C
NDW-01,2584,2592,ZEZ3C
NDW-01,2592,2594,ZEZ3G
NDW-01,2594,2621,ZEZ2M
NDW-01,2594,2625,ZEZ2M
NDW-01,2621,2634,ZEZ1M
NDW-01,2625,2634,ZEZ1M
NDW-01,2634,2638,ROSL
NDW-01,2638,2942.5,DCCU
WWK-01,0,168,NUMS
WWK-01,168,245,NUOT
WWK-01,245,718.8616333008,NUBA
WWK-01,718.8616333008,782.3684082031,NMVFO
WWK-01,782.3684082031,883.6464233398,NMRFC
WWK-01,883.6464233398,995.6464233398,NLFFY
WWK-01,995.6464233398,1001.1708374024,NLFFD
WWK-01,1001.1708374024,1047.0391845703,NLLFC
WWK-01,1047.0391845703,1075.4232177734,CKHM
WWK-01,1075.4232177734,1501.8040771484,SLDNA
WWK-01,1501.8040771484,1516.9239501953,ATBRU
WWK-01,1516.9239501953,1566.5180664063,ATBR3
WWK-01,1566.5180664063,1618.5671386719,ATBRM
WWK-01,1618.5671386719,1654.4655761719,ATBR2
WWK-01,1654.4655761719,1699.5307617188,ATBRL
WWK-01,1699.5307617188,1745.9448242188,ATBR1
WWK-01,1745.9448242188,1997.5400390625,ATWDU
WWK-01,1997.5400390625,2061.0068359375,ATWDM
WWK-01,2061.0068359375,2230.4645996094,ATWDL
WWK-01,2230.4645996094,2252.3601074219,ATPO
WWK-01,2252.3601074219,2692.66015625,ATAL
WWK-01,2692.66015625,2715.806640625,ATRT
WWK-01,2715.806640625,2722.4650878906,RNKPU
WWK-01,2722.4650878906,2744.4035644531,RNKPD
WWK-01,2744.4035644531,2756.6533203125,RNKPR
WWK-01,2756.6533203125,2770.9099121094,RNMUE
WWK-01,2770.9099121094,2806.8293457031,RNMUL
WWK-01,2806.8293457031,2835.6499023438,RNROY
WWK-01,2835.6499023438,2868.875,RNROF
WWK-01,2868.875,2903.2299804688,RNROL
WWK-01,2903.2299804688,2919.5400390625,RNSOC
