well,sample,aft_age,aft_age_stderr_min,aft_age_stderr_plus,Dpar
BKZ-01,BKZ01-1,182.9,76.6,440.4,
BKZ-01,BKZ01-1,96,18.6,30.1,
BKZ-01,BKZ01-1,92.1,41.5,391.4,
BKZ-01,BKZ01-1,111.6,12.4,15.9,
BKZ-01,BKZ01-2,249.6,74.9,182,
BKZ-01,BKZ01-2,259.8,66.7,134.1,
BKZ-01,BKZ01-2,238,79.7,232.6,
BKZ-01,BKZ01-2,429.8,105.9,202.5,
BKZ-01,BKZ01-2,276.8,94.4,284.5,
BKZ-01,BKZ01-2,353.7,70.6,115.3,
BKZ-01,BKZ01-2,179.3,51.6,119.2,
BKZ-01,BKZ01-2,226.4,49.9,88,
BKZ-01,BKZ01-2,366.5,142.8,589.5,
BKZ-01,BKZ01-2,276.8,38.4,52.7,
BKZ-01,BKZ01-2,235.7,33.8,47.1,
BKZ-01,BKZ01-2,429.8,105.9,202.5,
BKZ-01,BKZ01-2,321.8,87.4,185.9,
BKZ-01,BKZ01-2,263.1,27.7,34.9,
BKZ-01,BKZ01-2,194.2,26.7,36.6,
BKZ-01,BKZ01-2,351.6,82.1,150.6,
BKZ-01,BKZ01-2,476.8,121.9,240.3,
BKZ-01,BKZ01-2,252.1,73.3,170.8,
BKZ-01,BKZ01-2,0,0,398.5,
BKZ-01,BKZ01-2,321.8,59.6,93.4,
BKZ-01,BKZ01-3,152.2,36.3,68.5,
BKZ-01,BKZ01-3,166.4,25.8,37.2,
BKZ-01,BKZ01-3,133.5,14.9,19.2,
BKZ-01,BKZ01-3,189.7,25.3,34.4,
BKZ-01,BKZ01-3,118.6,12.8,16.3,
BKZ-01,BKZ01-3,176.9,21.3,28,
BKZ-01,BKZ01-3,124.9,13.7,17.5,
BKZ-01,BKZ01-3,60.3,9,12.8,
BKZ-01,BKZ01-3,176.5,22.6,30.2,
BKZ-01,BKZ01-3,393.4,59.9,85,
BKZ-01,BKZ01-3,135.3,22.6,33.7,
BKZ-01,BKZ01-3,178.8,21.7,28.6,
BKZ-01,BKZ01-3,106.4,12.3,15.9,
