strat_unit,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2
NUCT,2.59,0,0,0.8,0.1,0.1,0,0,0,0,0,0,430,428,300,1
NUMS,2.59,0,0,0.3,0.4,0.3,0,0,0,0,0,0,430,428,300,1
NUKO,4,2.59,0,0.8,0.1,0.1,0,0,0,0,0,0,430,428,300,1
NUOT,5.33,4,0,0.8,0.1,0.1,0,0,0,0,0,0,430,428,300,1
NUIN,12,5,0,0.8,0.1,0.1,0,0,0,0,0,0,430,428,300,1
NUVI,16.8,13.4,0,0.79,0.1,0.1,0,0,0,0,0,0,430,428,300,1
NUBA,17.6,7.25,0,0.7,0.1,0.2,0,0,0,0,0,0,430,428,300,1
NMVF,28.4,17.6,0,0,1,0,0,0,0,0,0,0,430,428,300,1
NMRF,37.2,28.4,0,0,0,1,0,0,0,0,0,0,430,428,300,1
NLFF,55.8,40,0,0.2,0,0.8,0,0,0,0,0,0,430,428,300,1
NLLF,58.7,55.8,0,0.2,0,0.8,0,0,0,0,0,0,430,428,300,1
CKHM,65.5,61.7,0,0,0,0,1,0,0,0,0,0,430,428,300,1
CKMA,67.4,65.5,0,0,0,0,1,0,0,0,0,0,430,428,300,1
CKGP,73.7,67.4,0,0,0,0,1,0,0,0,0,0,430,428,300,1
CKVA,83.5,73.7,0,0,0,0,1,0,0,0,0,0,430,428,300,1
CKAK,84.8,83.5,0,0,0,0,1,0,0,0,0,0,430,428,300,1
CKGR,70,65.5,0,0,0,0,1,0,0,0,0,0,430,428,300,1
CKTX,99.1,92.9,0,0,0,0,1,0,0,0,0,0,430,428,300,1
SLDNA,157,133.9,0,0.39,0.3,0.3,0,0,0,0,0,0.01,430,428,300,1
ATBR,167.7,157,0,0.1,0.1,0.1,0.7,0,0,0,0,0,430,428,300,1
ATWD,178,167.7,0,0.2,0.2,0.6,0,0,0,0,0,0,430,428,300,1
ATPO,183,178,0,0,0,1,0,0,0,0,0,0,430,428,300,1
ATAL,199.6,183,0,0,0,1,0,0,0,0,0,0,430,428,300,1
ATRT,203.6,199.6,0,0,0,1,0,0,0,0,0,0,430,428,300,1
RNKP,232,203.6,0,0.1,0,0.6,0,0,0,0.15,0.15,0,430,428,300,1
RNMU,240,232,0,0.1,0,0.6,0,0,0,0.15,0.15,0,430,428,300,1
RNRO,245.9,240,0,0,0.3,0.6,0,0,0,0,0.1,0,430,428,300,1
RNSO,246.2,245.5,0,0.5,0,0.5,0,0,0,0,0,0,430,428,300,1
RBMH,247.2,246.2,0,0.8,0,0.2,0,0,0,0,0,0,430,428,300,1
RBMD,248,247.2,0,0.8,0,0.2,0,0,0,0,0,0,430,428,300,1
RBMV,249.3,248,0,0.8,0,0.2,0,0,0,0,0,0,430,428,300,1
RBSH,251,249.3,0,0.7,0,0.3,0,0,0,0,0,0,430,428,300,1
ROSL,266,260,0,1,0,0,0,0,0,0,0,0,430,428,300,1
ZE,260,255,0,0,0,0.35,0.35,0,0,0.15,0.15,0,430,428,300,1
DCHS,309,305,0,0.3,0.2,0.5,0,0,0,0,0,0,430,428,320,1
DCDH,310,309,0,0.3,0.2,0.5,0,0,0,0,0,0,430,428,320,1
DCCU,312,310,0,0.1,0.2,0.7,0,0,0,0,0,0,430,428,320,1
NUKOR,3.9,2.5,0,1,0,0,0,0,0,0,0,0,430,428,300,1
NUKOS,3.9,2.5,0,1,0,0,0,0,0,0,0,0,430,428,300,1
NUKOB,4.5,3.9,0,0.3,0,0.69,0,0,0,0,0,0.01,430,428,300,1
NUKOV,5.8,4.5,0,0,1,0,0,0,0,0,0,0,430,428,300,1
NUKOW,9.3,5.8,0,1,0,0,0,0,0,0,0,0,430,428,300,1
NUBAV,13.4,11.7,0,0.6,0.2,0.2,0,0,0,0,0,0,430,428,300,1
NUBAK,19.9,16.8,0,0.6,0.2,0.2,0,0,0,0,0,0,430,428,300,1
NUBAU,13.4,11.7,0,0.6,0.2,0.2,0,0,0,0,0,0,430,428,300,1
NUBAL,20.9,16.8,0,0.6,0.2,0.2,0,0,0,0,0,0,430,428,300,1
NMVFS,22.4,21.9,0,0.7,0,0.3,0,0,0,0,0,0,430,428,300,1
NMVFO,23,22.4,0,0.1,0.3,0.6,0,0,0,0,0,0,430,428,300,1
NMVFV,27.7,23.4,0,0.7,0,0.3,0,0,0,0,0,0,430,428,300,1
NMRFT,30.5,29.5,0,0.7,0,0.3,0,0,0,0,0,0,430,428,300,1
NMRFC,34.8,30.5,0,0.15,0.1,0.75,0,0,0,0,0,0,430,428,300,1
NMRFV,35.4,34.8,0,0.6,0.3,0.1,0,0,0,0,0,0,430,428,300,1
NLFFB,42,40,0,0.3,0,0.7,0,0,0,0,0,0,430,428,300,1
NLFFS,50.2,42,0,0.6,0.15,0.1,0.1,0,0.05,0,0,0,430,428,300,1
NLFFM,50.2,42,0,0,0.1,0.6,0,0,0.3,0,0,0,430,428,300,1
NLFFY,55.1,50.2,0,0.1,0.3,0.6,0,0,0,0,0,0,430,428,300,1
NLFFD,55.4,55.1,0,0.7,0,0.3,0,0,0,0,0,0,430,428,300,1
NLFFC,55.1,37.9,0,0.2,0,0.8,0,0,0,0,0,0,430,428,300,1
NLLFR,57.8,56,0,0.35,0.65,0,0,0,0,0,0,0,430,428,300,1
NLLFC,58,57.8,0,0.1,0.1,0.6,0,0,0.2,0,0,0,430,428,300,1
NLLFG,58.4,58,0,0,0,0.3,0,0,0.7,0,0,0,430,428,300,1
NLLFS,58.8,58.4,0,0.7,0,0.3,0,0,0,0,0,0,430,428,300,1
NLLFL,59,58.8,0,0.6,0,0.4,0,0,0,0,0,0,430,428,300,1
ATBRO,159.15,156.65,0,0,0,0,1,0,0,0,0,0,430,428,300,1
ATBRU,161.2,159.15,0,0.3,0,0,0,0,0.7,0,0,0,430,428,300,1
ATBR3,162.8,161.2,0,0.3,0,0,0.7,0,0,0,0,0,430,428,300,1
ATBRM,164,162.8,0,0.3,0,0,0,0,0.7,0,0,0,430,428,300,1
ATBR2,164.7,164,0,0.3,0,0,0.6,0,0.1,0,0,0,430,428,300,1
ATBRL,165.4,164.7,0,0.3,0,0,0.1,0,0.6,0,0,0,430,428,300,1
ATBR1,168.2,165.4,0,0,0,0,0.3,0,0.7,0,0,0,430,428,300,1
ATWDU,170.1,168.2,0,0,0,0.7,0,0,0.3,0,0,0,430,428,300,1
ATWDM,170.6,170.1,0,0.3,0.6,0,0,0,0.1,0,0,0,430,428,300,1
ATWDL,177.6,170.6,0,0,0.3,0.6,0.1,0,0,0,0,0,430,428,300,1
RNKPU,207.2,203.6,0,0.1,0.1,0.5,0,0,0.3,0,0,0,430,428,300,1
RNKPD,211.4,207.2,0,0.2,0,0.5,0,0.1,0.1,0.1,0,0,430,428,300,1
RNKPR,213.6,211.4,0,0,0.1,0.6,0,0,0.3,0,0,0,430,428,300,1
RNKPE,220.1,213.6,0,0,0.25,0.55,0,0,0,0.1,0.1,0,430,428,300,1
RNKPM,221.5,220.1,0,0.1,0.3,0.5,0,0,0,0.1,0,0,430,428,300,1
RNKPS,225.6,221.5,0,0,0,0.4,0,0,0,0.5,0.1,0,430,428,300,1
RNKPL,233.5,225.6,0,0.1,0,0.5,0,0.3,0,0.1,0,0,430,428,300,1
RNKPC,221.5,203.6,0,0.05,0.15,0.6,0,0,0.15,0.05,0,0,430,428,300,1
RNMUU,237,233.5,0,0,0,0,0.3,0.6,0.1,0,0,0,430,428,300,1
RNMUA,238.9,237,0,0,0,0.1,0,0,0.6,0.3,0,0,430,428,300,1
RNMUE,240.7,238.9,0,0,0,0,0,0,0,0.3,0.7,0,430,428,300,1
RNMUL,244,240.7,0,0,0,0,0.6,0.3,0.1,0,0,0,430,428,300,1
RNMUC,238.9,233.5,0,0,0,0.05,0.15,0.3,0.35,0.15,0,0,430,428,300,1
RNROY,244.7,244,0,0.1,0.3,0.5,0,0.05,0,0.05,0,0,430,428,300,1
RNROF,245,244.7,0,0.7,0,0.3,0,0,0,0,0,0,430,428,300,1
RNROL,245.5,245,0,0,0.3,0.6,0,0,0,0.1,0,0,430,428,300,1
RNSOC,246,245.5,0,0.3,0,0.7,0,0,0,0,0,0,430,428,300,1
RNSOB,246.2,246,0,1,0,0,0,0,0,0,0,0,430,428,300,1
RBMDU,247.6,247.2,0,0.6,0.1,0.3,0,0,0,0,0,0,430,428,300,1
RBMDC,247.8,247.6,0,0,0.3,0.6,0,0,0,0.1,0,0,430,428,300,1
RBMDL,248,247.8,0,0.6,0.3,0.1,0,0,0,0,0,0,430,428,300,1
RBMVU,248.5,248,0,0.6,0.3,0.1,0,0,0,0,0,0,430,428,300,1
RBMVC,248.7,248.5,0,0,0.6,0.3,0.1,0,0,0,0,0,430,428,300,1
RBMVL,249.3,248.7,0,0.7,0,0.3,0,0,0,0,0,0,430,428,300,1
