well,depth,VR,VR_min,VR_max,VR_unc_1sigma
BKZ-01,793,0.2899999917,,,
BKZ-01,853,0.3199999928,,,
BKZ-01,913,0.3199999928,,,
BKZ-01,973,0.3400000036,,,
BKZ-01,1033,0.3400000036,,,
BKZ-01,1093,0.3899999857,,,
BKZ-01,1143,0.4499999881,,,
BKZ-01,1193,0.3700000048,,,
BKZ-01,1243,0.349999994,,,
BKZ-01,1293,0.3400000036,,,
BKZ-01,1343,0.400000006,,,
BKZ-01,1393,0.3000000119,,,
BKZ-01,1443,0.4099999964,,,
BKZ-01,1493,0.400000006,,,
BKZ-01,1543,0.4399999976,,,
BKZ-01,1592,0.4300000072,,,
BKZ-01,1642,0.4399999976,,,
BKZ-01,1692,0.4300000072,,,
BKZ-01,1726,0.4900000095,,,
BKZ-01,1729,0.4600000083,,,
BKZ-01,1741,0.4499999881,,,
BKZ-01,1791,0.5500000119,,,
BKZ-01,1841,0.4300000072,,,
BKZ-01,1891,0.4699999988,,,
BKZ-01,1940,0.5299999714,,,
BKZ-01,1990,0.7400000095,,,
BKZ-01,2040,0.7400000095,,,
BKZ-01,2089,0.5400000215,,,
BKZ-01,2139,0.4699999988,,,
BKZ-01,2188,0.5899999738,,,
BKZ-01,2228,0.5400000215,,,
KDK-01,717,0.3199999928,,,
KDK-01,994,0.3300000131,,,
KDK-01,1261,0.349999994,,,
KDK-01,1387,0.4099999964,,,
KDK-01,1436,0.4900000095,,,
KDK-01,1486,0.5299999714,,,
KDK-01,1576,0.4799999893,,,
KDK-01,738.7399902344,0.3199999928,,,0.0500000007
KDK-01,1018,0.3300000131,,,0.1800000072
KDK-01,1192.5899658203,0.5600000024,,,0.0700000003
KDK-01,1275.1700439453,0.349999994,,,0.1000000015
KDK-01,1414.4599609375,0.4099999964,,,0.0599999987
KDK-01,1462.6600341797,0.4900000095,,,0.1199999973
KDK-01,1509.3199462891,0.5299999714,,,0.0799999982
KDK-01,1594.9599609375,0.4799999893,,,0.0599999987
NDW-01,1608,0.3899999857,,,
NDW-01,1614,0.4300000072,,,
NDW-01,1622,0.4900000095,,,
NDW-01,1630,0.2800000012,,,
NDW-01,1678,0.4600000083,,,
NDW-01,2649.5,1.0700000525,,,
NDW-01,2709,1.2999999523,,,
NDW-01,2803.1999511719,1.4299999475,,,
NDW-01,2815,1.3500000238,,,
NDW-01,2818,1.6499999762,,,
NDW-01,2890,1.5099999905,,,
NDW-01,2890.0100097656,1.4800000191,,,
NDW-01,2912,1.5,,,
NDW-01,2912.0100097656,1.5599999428,,,
NDW-01,1608,0.3899999857,,,
NDW-01,1614,0.4300000072,,,
NDW-01,1618,0.4600000083,,,
NDW-01,1622,0.4900000095,,,
NDW-01,1630,0.6299999952,,,
NDW-01,2649.5,1.0700000525,,,
NDW-01,2709,1.2999999523,,,
NDW-01,2803.1999511719,1.4299999475,,,
NDW-01,2815,1.3500000238,,,
NDW-01,2818,1.6499999762,,,
NDW-01,2890,1.4800000191,,,
NDW-01,2890,1.5099999905,,,
NDW-01,2912,1.5,,,
NDW-01,2912,1.5599999428,,,
WWK-01x,1081,0.400000006,,,
WWK-01x,1200,0.3400000036,,,
WWK-01x,1460,0.8999999762,,,
WWK-01x,1574,0.349999994,,,
WWK-01x,1690,0.4900000095,,,
WWK-01x,1804,0.4300000072,,,
WWK-01x,1915,0.4699999988,,,
WWK-01x,2027,0.4600000083,,,
WWK-01x,2222,0.4499999881,,,
WWK-01x,2237,0.4699999988,,,
WWK-01x,2242,0.4199999869,,,
WWK-01x,2245,0.4099999964,,,
WWK-01x,2358,0.4900000095,,,
WWK-01x,2458,0.5199999809,,,
WWK-01x,2591,0.4600000083,,,
WWK-01x,2666,0.5600000024,,,
WWK-01,1092.6600341797,0.400000006,,,
WWK-01,1208.1500244141,0.3400000036,,,
WWK-01,1467.9200439453,0.8999999762,,,
WWK-01,1582.0300292969,0.349999994,,,
WWK-01,1698.0100097656,0.4900000095,,,
WWK-01,1811.5300292969,0.4300000072,,,
WWK-01,1923.0600585938,0.4699999988,,,
WWK-01,2034.6500244141,0.4600000083,,,
WWK-01,2230.2099609375,0.4499999881,,,
WWK-01,2249.7099609375,0.4699999988,,,
WWK-01,2256.7099609375,0.4199999869,,,
WWK-01,2253.8400878906,0.4099999964,,,
WWK-01,2367.1298828125,0.4900000095,,,
WWK-01,2488.580078125,0.5199999809,,,
WWK-01,2601.0900878906,0.4600000083,,,
WWK-01,2676.7800292969,0.5600000024,,,
