well,sample,aft_age,aft_age_stderr_min,aft_age_stderr_plus
E40,E40,1.87,1.09,1.09
E40,E40,3.11,9.3,9.3
E40,E40,3.3,9.86,9.86
E40,E40,4.43,2.23,2.23
E40,E40,4.47,13.32,13.32
E40,E40,4.76,14.29,14.29
E40,E40,4.93,14.77,14.77
E40,E40,9.08,6.43,6.43
E40,E40,9.78,6.94,6.94
E40,E40,10.22,10.26,10.26
E40,E40,11.04,6.38,6.38
E40,E40,11.96,4.04,4.04
E40,E40,12.19,7.07,7.07
E40,E40,14.73,8.58,8.58
E40,E40,15.13,15.16,15.16
E40,E40,17.59,12.49,12.49
E40,E40,19.06,11.12,11.12
E40,E40,19.19,7.36,7.36
E40,E40,49.88,147.01,147.01
