well,depth_AH,depth_TVD,water_percentage,chloride_g_L-1
AST-02,320,320,24,0.15
AST-02,363,363,24,0.4
AST-02,630,630,27.9,1.3
AST-02,711,711,24,0.7
AST-02,795,795,24,0.6
AST-02,800,800,24,0.9
AST-02,805,805,24,0.7
AST-02,810,810,24,0.5
AST-02,817,817,24,0.7
AST-02,824,824,24,0.8
AST-02,880,880,24,0.6
AST-02,904,904,21.8,6.1
AST-02,905,905,28.9,5
AST-02,980,980,18,0.8
AST-02,997,997,18,1.4
AST-02,1023,1023,18,4
AST-02,1152,1152,24.6,8.5
AST-02,1140,1140,18,2.5
AST-02,1231,1231,16,18
AST-02,1540,1540,15.7,42.2
AST-02,1545,1545,16,33.8
AST-02,1425,1425,19,14.285
AST-02,1429,1429,14,5.4
AST-02,1430,1430,17,13.65
AST-02,1435,1435,17.7,9.485
AST-02,1440,1440,18.3,11.305
AST-02,1445,1445,19.2,11.03
AST-02,1450,1450,14,29.5
AST-02,1465,1465,14,5
AST-02,1470,1470,26.6,4.3
AST-02,1470,1470,21.6,14.4
AST-02,1475,1475,22.8,8.42
AST-02,1480,1480,25,5.645
AST-02,1482,1482,25,12.22
AST-02,1484,1484,13,18.3
AST-02,1492,1492,11,21.7
AST-02,1510,1510,16.4,21
AST-02,1514,1514,17.5,25.5
AST-02,1521,1521,12.7,24.6
AST-02,1522,1522,13.6,34.7
AST-02,1532,1532,11.2,26.5
AST-02,1646,1646,13.6,27.6
