well,depth,temperature,temperature_unc_1sigma,data_type
NDW-01,2947.2,78,15,BHT
NDW-01,2947.2,78,15,BHT
NDW-01,2946.8,78,15,BHT
NDW-01,2265,61,15,BHT
NDW-01,2942.5,78,15,BHT
NDW-01,1003.5,29,15,BHT
NDW-01,2266,61,15,BHT
NDW-01,2266.2,61,15,BHT
NDW-01,2265.5,61,15,BHT
NDW-01,2266,61,15,BHT
WWK-01,2708.34,108.4,3,DST
BKZ-01,2689.33,95.6,15,BHT
BKZ-01,2689.33,95.6,15,BHT
BKZ-01,2689.33,90.6,15,BHT
BKZ-01,2689.33,98.9,15,BHT
BKZ-01,2689.33,95.6,15,BHT
BKZ-01,2689.33,98.9,15,BHT
BKZ-01,1827.88,63,15,BHT
BKZ-01,2689.33,95.6,15,BHT
KDK-01,1355.46,46.5,15,BHT
KDK-01,1695.18,57.2,15,BHT
KDK-01,2138.89,85,15,BHT
KDK-01,2190.16,81,15,BHT
KDK-01,2189.39,81,15,BHT
KDK-01,2190.16,85,15,BHT
WWK-01,1037.27,59,15,BHT
WWK-01,1995.3,69,15,BHT
WWK-01,2137.16,80,15,BHT
WWK-01,2815.71,104,15,BHT
WWK-01,2834.94,103,15,BHT
WWK-01,2844.16,103,15,BHT
WWK-01,3070.14,109,15,BHT
WWK-01,3077.06,114,15,BHT
WWK-01,3074.47,116,15,BHT
WWK-01,2850.49,112,15,BHT
WWK-01,3051.34,113,15,BHT
WWK-01,3036.26,118,15,BHT
WWK-01,2826.1,104,15,BHT
