strat_unit,age_bottom,age_top,marine,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2
NORDLAND_GP,2.7,0,TRUE,0,0.3,0.2,0.5,0,0,0,0,0,0,430,428,300,1
HORDALAND_GP,40,2.7,TRUE,0,0.1,0.2,0.7,0,0,0,0,0,0,430,428,300,1
BALDER_FM,54.5,54,TRUE,0,0,0,0.9,0,0,0.1,0,0,0,430,428,300,1
SELE_FM,55.5,54.5,TRUE,0,0,0,0.9,0,0,0.1,0,0,0,430,428,300,1
FORTIES_FM,56,55.5,TRUE,0,0.9,0.1,0,0,0,0,0,0,0,430,428,300,1
LISTA_FM,61.6,56,TRUE,0,0,0.15,0.85,0,0,0,0,0,0,430,428,300,1
EKOFISK_FM,65.5,61.6,TRUE,0,0,0,0,1,0,0,0,0,0,430,428,300,1
TOR_FM,72,65.5,TRUE,0,0,0,0,1,0,0,0,0,0,430,428,300,1
HOD_FM,89,72,TRUE,0,0,0,0,0.8,0,0.2,0,0,0,430,428,300,1
BLODOKS_FM,93.5,89,TRUE,0,0,0.1,0.9,0,0,0,0,0,0,430,428,300,1
HIDRA_FM,112,93.5,TRUE,0,0,0,0,0.3,0,0.7,0,0,0,430,428,300,1
RODBY_FM,125,112,TRUE,0,0,0.15,0.85,0,0,0,0,0,0,430,428,300,1
TUXEN_FM,132,125,TRUE,0,0,0,0,0.5,0,0.5,0,0,0,430,428,300,1
ASGARD_FM,140,132,TRUE,0,0,0.15,0.85,0,0,0,0,0,0,430,428,300,1
MANDAL_FM,150,140,TRUE,0,0,0.1,0.9,0,0,0,0,0,0,430,428,300,1
ULA_FM,157,150,TRUE,0,0.9,0.1,0,0,0,0,0,0,0,430,428,300,1
BRYNE_FM,170,157,FALSE,0,0.7,0.15,0.1,0,0,0,0,0,0.05,430,428,300,1
SKAGERRAK_FM,235,170,FALSE,0,0.7,0.2,0.1,0,0,0,0,0,0,430,428,300,1
SMITH_BANK_FM,251,235,FALSE,0,0.1,0.3,0.6,0,0,0,0,0,0,430,428,300,1
ZECHSTEIN_GP,257,251,TRUE,0,0,0,0,0,0.3,0,0.3,0.4,0,430,428,300,1
