well,depth_top,depth_bottom,strat_unit
2_1-3,0,1427,NORDLAND_GP
2_1-3,1427,2702,HORDALAND_GP
2_1-3,2702,2742,BALDER_FM
2_1-3,2742,2749,SELE_FM
2_1-3,2749,2814,FORTIES_FM
2_1-3,2814,2891,LISTA_FM
2_1-3,2891,2904,EKOFISK_FM
2_1-3,2904,3328,TOR_FM
2_1-3,3328,3424,HOD_FM
2_1-3,3424,3428,BLODOKS_FM
2_1-3,3428,3438,HIDRA_FM
2_1-3,3438,3483,RODBY_FM
2_1-3,3483,3529,TUXEN_FM
2_1-3,3529,3695,ASGARD_FM
2_1-3,3695,3724,MANDAL_FM
2_1-3,3724,3895,ULA_FM
2_1-3,3895,4005,BRYNE_FM
2_1-3,4005,4067,SKAGERRAK_FM
2_1-3,4067,4123,SMITH_BANK_FM
2_1-3,4123,4201,ZECHSTEIN_GP
