,type,code_group,code_fm,group_name,color,formation_name,system_period,epoch_bottom,epoch_top,stage_bottom,stage_top,age_bottom,age_top,notes,deposition_descr1,deposition_descr2,deposition_descr3,hydrogeology,thickness_mean,thickness_min,thickness_max,well_max_th,dominant_lithology,grain_size,congl,sand,silt,clay,shale,blackshale,lime,dolomite,carbonate,oolite,chalk,marl,anhydrite,halite,chert,tuff,volcanic,coal,organic,NP_zone_bottom,NP_zone_top,Foram_zone_bottom,Foram_zone_top,Litho_code_Rift2D,Filename_depth_base_deRooij,Filename_TNO2006
0,formation,NU,NUCT,Upper_North_Sea,yellow,Quaternary,Quaternary,,,Quaternary,recent,2.5880000591278076,0.0,,continental,,,aquifer,0.0,0.0,0.0,0,sand,150.0,0.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
1,formation,NU,NUMS,Upper_North_Sea,yellow,Maassluis,Quaternary,,,Gelasian,recent,2.5880000591278076,0.0,,marine,,,aquifer,0.0,0.0,0.0,0,sand,175.0,0.0,30.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
2,formation,NU,NUKO,Upper_North_Sea,yellow,Kiezelooliet,Pliocene,,,Zanclean,Piacenzian,5.3319997787475586,2.5880000591278076,zie_Donders2007,continental,,,aquifer,0.0,0.0,0.0,0,sand,300.0,0.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
3,formation,NU,NUOT,Upper_North_Sea,yellow,Oosterhout,Pliocene,Pliocene,Pleistocene,Zanclean,Piacenzian,5.3319997787475586,2.5880000591278076,upper_bnd_uncertain,marine,shallow,,various,0.0,0.0,0.0,0,sandy_clay,250.0,0.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,b_oosterhout,
4,formation,NU,NUIN,Upper_North_Sea,yellow,Inden,Miocene,,,Tortonian,Tortonian,12.0,5.0,zie_Donders2007,continental,,,aquitard,0.0,0.0,0.0,0,coal,150.0,0.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,b_inden,
5,formation,NU,NUVI,Upper_North_Sea,yellow,Ville,Miocene,,,Burdigalian,Serravalian,20.430000305175781,11.607999801635742,,continental,,,aquitard,0.0,0.0,0.0,0,sand,150.0,0.0,79.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0,,
6,formation,NU,NUBA,Upper_North_Sea,yellow,Breda,Miocene,Miocene,Pliocene,Burdigalian,Tortonian,17.600000381469727,7.245999813079834,upper_bnd_uncertain,marine,shallow,,various,0.0,0.0,0.0,0,sandy_clay,150.0,0.0,70.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
7,formation,NM,NMVF,Middle_North_Sea,orange,Veldhoven,Oligocene/Miocene,,,Chattian,Aquitanian,28.399999618530273,17.600000381469727,,marine,shallow_to_neritic,,various,0.0,0.0,0.0,0,clay,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NP25,NN2,,,0,,
8,formation,NM,NMRF,Middle_North_Sea,orange,Rupel,Oligocene,Eocene,Oligocene,Priabonian,Rupelian,37.200000762939453,28.399999618530273,,marine,shallow_to_neritic,,various,0.0,0.0,0.0,0,clay,200.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NP19-20,NP24,,,0,,
9,formation,NL,NLFF,Lower_North_Sea,brown,Dongen,Eocene,,,Ypresian,Bartonian,55.799999237060547,40.0,,marine,neritic,,various,0.0,0.0,0.0,0,sandy_clay,100.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NP11,NP17,,,0,,
