strat_unit,age_bottom,age_top,conglomerate,sand,silt,clay,carbonate,dolomite,marl,anhydrite,halite,coal,peat
Quaternary,2.2,0,0.45,0.45,0,0,0,0,0,0,0,0,0
OSM,,,0,0,0,0,0,0,0,0,0,0,0
OMM,,,0,0,0,0,0,0,0,0,0,0,0
USM1,25.3,23.8,0,0,0,0,0,0,0,0,0,0,0
USM1AB,24.3,23.8,0,0.45,0,0.45,0.1,0,0,0,0,0,0
USM1B,24.8,24.3,0,0.25,0,0.35,0.4,0,0,0,0,0,0
USM1C,25.3,24.8,0,0.3,0,0.2,0.5,0,0,0,0,0,0
USM2,26.9,25.3,0,0.75,0,0,0.25,0,0,0,0,0,0
USM3,28.5,26.9,0,0.33,0,0.33,0.33,0,0,0,0,0,0
UMM,,,0,0,0,0,0,0,0,0,0,0,0
Entlebuch_thrust,20,10,0,0.33,0,0.33,0.33,0,0,0,0,0,0
