,well,sample_id,sample_type,data_source,x_UTMED50,y_UTMED50,depth_top_AH,depth_bottom_AH,depth_top_TVD,depth_bottom_TVD,stratigraphy_code,stratigraphy,lithology,vitrinite_parameter,value_main,N_main,value_pop2,N_pop2,value_pop3,N_pop3,value_pop4,N_pop4,value_mean,value_std,N_total
0,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,737.0999755859375,737.0999755859375,737.0999755859375,737.0999755859375,,no_info,,Rr,1.1599999666213989,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
1,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,746.08001708984375,746.08001708984375,746.08001708984375,746.08001708984375,,no_info,,Rr,1.1399999856948853,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
2,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,747.5,747.5,747.5,747.5,,no_info,,Rr,1.2100000381469727,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
3,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,762.29998779296875,762.29998779296875,762.29998779296875,762.29998779296875,,no_info,,Rr,1.2799999713897705,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
4,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,763.0,763.0,763.0,763.0,,no_info,,Rr,1.309999942779541,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
5,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,763.5,763.5,763.5,763.5,,no_info,,Rr,1.2599999904632568,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
6,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,794.1500244140625,794.1500244140625,794.1500244140625,794.1500244140625,,no_info,,Rr,1.2599999904632568,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
7,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,798.0,798.0,798.0,798.0,,no_info,,Rr,1.3300000429153442,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
8,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,815.54998779296875,815.54998779296875,815.54998779296875,815.54998779296875,,no_info,,Rr,1.4299999475479126,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
9,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,818.6500244140625,818.6500244140625,818.6500244140625,818.6500244140625,,no_info,,Rr,1.4199999570846558,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
10,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,824.33001708984375,824.33001708984375,824.33001708984375,824.33001708984375,,no_info,,Rr,1.3999999761581421,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
11,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,833.219970703125,833.219970703125,833.219970703125,833.219970703125,,no_info,,Rr,1.3999999761581421,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
12,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,844.91998291015625,844.91998291015625,844.91998291015625,844.91998291015625,,no_info,,Rr,1.4299999475479126,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
13,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,846.20001220703125,846.20001220703125,846.20001220703125,846.20001220703125,,no_info,,Rr,1.4299999475479126,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
14,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,854.5,854.5,854.5,854.5,,no_info,,Rr,1.4700000286102295,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
15,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,869.29998779296875,869.29998779296875,869.29998779296875,869.29998779296875,,no_info,,Rr,1.4800000190734863,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
16,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,885.34002685546875,885.34002685546875,885.34002685546875,885.34002685546875,,no_info,,Rr,1.4900000095367432,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
17,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,890.219970703125,890.219970703125,890.219970703125,890.219970703125,,no_info,,Rr,1.5299999713897705,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
18,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,897.0,897.0,897.0,897.0,,no_info,,Rr,1.5399999618530273,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
19,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,899.6500244140625,899.6500244140625,899.6500244140625,899.6500244140625,,no_info,,Rr,1.5299999713897705,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
20,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,912.3499755859375,912.3499755859375,912.3499755859375,912.3499755859375,,no_info,,Rr,1.5299999713897705,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
21,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,919.4000244140625,919.4000244140625,919.4000244140625,919.4000244140625,,no_info,,Rr,1.5399999618530273,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
22,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,943.5999755859375,943.5999755859375,943.5999755859375,943.5999755859375,,no_info,,Rr,1.5900000333786011,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
23,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,957.6199951171875,957.6199951171875,957.6199951171875,957.6199951171875,,no_info,,Rr,1.5700000524520874,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
24,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,972.530029296875,972.530029296875,972.530029296875,972.530029296875,,no_info,,Rr,1.6200000047683716,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
25,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,990.9000244140625,990.9000244140625,990.9000244140625,990.9000244140625,,no_info,,Rr,1.6499999761581421,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
26,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1010.219970703125,1010.219970703125,1010.219970703125,1010.219970703125,,no_info,,Rr,1.7100000381469727,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
27,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1011.0900268554688,1011.0900268554688,1011.0900268554688,1011.0900268554688,,no_info,,Rr,1.7100000381469727,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
28,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1052.77001953125,1052.77001953125,1052.77001953125,1052.77001953125,,no_info,,Rr,1.7100000381469727,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
29,BEE-72,unknown,unknown,TNO-database,712738.0,5684904.0,1069.97998046875,1069.97998046875,1069.97998046875,1069.97998046875,,no_info,,Rr,1.7000000476837158,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
