strat_unit,age_bottom,age_top,marine,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,provenance_age_start_3,provenance_age_end_3,provenance_age_start_4,provenance_age_end_4,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal
ZE,260,255,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.35,0.35,0,0,0.15,0.15,0
ZEUC,253,251,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.3,0.6,0.05,0,0,0.05,0,0
ZEZ3C,256,253,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.05,0.15,0.35,0.35,0,0.1,0,0
NU,20.43,0,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.7,0.15,0.15,0,0,0,0,0,0
NMNL,59,20.43,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.4,0.1,0.5,0,0,0,0,0,0
CK,70,59,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
KN,140.2,99.6,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.15,0.1,0.6,0,0,0.15,0,0,0
SL,161,140.2,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.39,0.3,0.3,0,0,0,0,0,0.01
AT,203.6,161,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.1,0.7,0.1,0,0,0,0,0
RNRB,251,203.6,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.5,0.05,0.45,0,0,0,0,0,0
