well,LAT_PALEO,EAR_EOC_YP,EAR_EOC_MY,EAR_EOC_LY,MID_EOC,LAT_EOC,EAR_OLIG,LAT_OLIG,EAR_MIOC,MID_MIOC,EAR_PLIOC,MID_QUART
age_start,59.2,56,53,51,41.2,37.8,33.9,28.1,23.03,15.97,5.33,2.58
age_end,56,53,51,47.8,37.8,33.9,28.1,23.03,15.97,5.33,2.58,0
Well0,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well1,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well2,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well3,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well4,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well5,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well6,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well7,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well8,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well9,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well10,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well11,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well12,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well13,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well14,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well15,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well16,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well17,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well18,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well19,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well20,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well21,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well22,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well23,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well24,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well25,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well26,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well27,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well28,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well29,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well30,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well31,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well32,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well33,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well34,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well35,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well36,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well37,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well38,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well39,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well40,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well41,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well42,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well43,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well44,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well45,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well46,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well47,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well48,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well49,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well50,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well51,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well52,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well53,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well54,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well55,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
