NAME,EAR_EOC_YP,EAR_EOC_LY,EAR_EOC_MY,EAR_MIOC,EAR_OLIG,EAR_PLIOC,LAT_EOC,LAT_OLIG,LAT_PALEO,MID_EOC,MID_MIOC,MID_QUART
Well0,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well1,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well2,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well3,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well4,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well5,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well6,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well7,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well8,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well9,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well10,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well11,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well12,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well13,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well14,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well15,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well16,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well17,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well18,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well19,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well20,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well21,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well22,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well23,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well24,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well25,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well26,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well27,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well28,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
Well29,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Marine,Non Marine
