well,depth,temperature,temperature_unc_1sigma,data_type
Entlebuch,0,8,1,BHT_corrected
Entlebuch,294,28.9,5,BHT_corrected
Entlebuch,2210,71.9,5,BHT_corrected
Entlebuch,3990,116.1,5,BHT_corrected
Entlebuch,4501,144.9,5,BHT_corrected
Entlebuch,4852,156.6,5,BHT_corrected
Entlebuch,5289,160,5,BHT_corrected
Romanens_x,1000,58,5,BHT_corrected
Romanens,2900,92,5,BHT_corrected
Romanens,3250,118,5,BHT_corrected
Romanens,3800,133,5,BHT_corrected
Romanens,3950,133,5,BHT_corrected
Romanens,3960,124,5,BHT_corrected
Altishofen,2166,78,10,unkown
Boswil,1000,39.8,10,unkown
Boswil,1800,57.5,10,unkown
Chapelle,480,33,3,logging
Chapelle,1000,47,3,logging
Chapelle,1500,58,3,logging
Chapelle,2000,77.5,3,logging
Huenenberg,0,8,10,unkown
Huenenberg,725,38,10,unkown
Huenenberg,2150,64,10,unkown
Huenenberg,2392,69.7,10,unkown
Huenenberg,3288,96,10,unkown
Kuesnacht,1165,47,10,unkown
Kuesnacht,1172,50.5,10,unkown
Kuesnacht,1180.6,46,10,unkown
Kuesnacht,2681.5,68,10,unkown
Kuesnacht,2682,73,10,unkown
Kuesnacht,2682.4,63,10,unkown
Lindau,0,8,5,BHT_corrected
Lindau,295,30,5,BHT_corrected
Lindau,1530,44,5,BHT_corrected
Lindau,1694,64,5,BHT_corrected
Lindau,2250,80,5,BHT_corrected
Lindau,2376,74,5,BHT_corrected
Lindau,2377,92,5,BHT_corrected
Linden,2226.5,64.4,10,unkown
Linden,3406.6,95.5,10,unkown
Savigny,500,26,3,logging
Savigny,992,44,3,logging
Savigny,2334.8,75,3,logging
Savigny,2486.2,79,3,logging
Thun,2175,65,10,unkown
Thun,2175.1,70,10,unkown
Thun,4736,139,10,unkown
Thun,4736.1,150,10,unkown
Thun,5561,185,3,logging
Thun,5911,188,3,logging
Thun,5911.1,197,3,logging
Thun,5945,195,3,logging
Weggis,2133,71,20,BHT
Weggis,2133,72.05,20,BHT
Weggis,2133,72.06,20,BHT
Weggis,2133,73,20,BHT
