well,depth_top,depth_bottom,strat_unit
Well0,0,52.87,NU
Well0,52.87,382.98,NMNL
Well0,382.98,519.61,CK
Well1,0,52.78,NU
Well1,52.78,398.15,NMNL
Well1,398.15,539.9,CK
Well2,0,52.72,NU
Well2,52.72,413.68,NMNL
Well2,413.68,560.34,CK
Well3,0,52.65,NU
Well3,52.65,429.33,NMNL
Well3,429.33,580.93,CK
Well4,0,53.17,NU
Well4,53.17,360.36,NMNL
Well4,360.36,490.49,CK
Well5,0,53.1,NU
Well5,53.1,374.51,NMNL
Well5,374.51,511.04,CK
Well6,0,53.04,NU
Well6,53.04,389.33,NMNL
Well6,389.33,531.9,CK
Well7,0,52.96,NU
Well7,52.96,404.58,NMNL
Well7,404.58,552.65,CK
Well8,0,52.91,NU
Well8,52.91,420.17,NMNL
Well8,420.17,573.37,CK
Well9,0,53.48,NU
Well9,53.48,435.93,NMNL
Well9,435.93,594.25,CK
Well10,0,56.59,NU
Well10,56.59,451.76,NMNL
Well10,451.76,615.58,CK
Well11,0,59.75,NU
Well11,59.75,467.46,NMNL
Well11,467.46,637.51,CK
Well12,0,63.14,NU
Well12,63.14,483.21,NMNL
Well12,483.21,660.64,CK
Well13,0,66.21,NU
Well13,66.21,498.77,NMNL
Well13,498.77,685.98,CK
Well14,0,54.56,NU
Well14,54.56,330.71,NMNL
Well14,330.71,445.68,CK
Well15,0,53.86,NU
Well15,53.86,340.9,NMNL
Well15,340.9,461.31,CK
Well16,0,54.25,NU
Well16,54.25,353.3,NMNL
Well16,353.3,480.31,CK
Well17,0,56.71,NU
Well17,56.71,369.27,NMNL
Well17,369.27,503.81,CK
Well18,0,53.26,NU
Well18,53.26,380.39,NMNL
Well18,380.39,522.4,CK
Well19,0,53.21,NU
Well19,53.21,395.46,NMNL
Well19,395.46,544.11,CK
Well20,0,53.14,NU
Well20,53.14,410.86,NMNL
Well20,410.86,565.24,CK
Well21,0,53.1,NU
Well21,53.1,426.53,NMNL
Well21,426.53,586.04,CK
Well22,0,54.21,NU
Well22,54.21,442.17,NMNL
Well22,442.17,606.74,CK
Well23,0,57.17,NU
Well23,57.17,458.04,NMNL
Well23,458.04,627.97,CK
Well24,0,60.27,NU
Well24,60.27,473.88,NMNL
Well24,473.88,649.84,CK
Well25,0,63.73,NU
Well25,63.73,490.03,NMNL
Well25,490.03,672.75,CK
Well26,0,67.38,NU
Well26,67.38,506.07,NMNL
Well26,506.07,696.98,CK
Well27,0,71.34,NU
Well27,71.34,521.71,NMNL
Well27,521.71,723.38,CK
Well28,0,54.58,NU
Well28,54.58,325.47,NMNL
Well28,325.47,436.93,CK
Well29,0,53.62,NU
Well29,53.62,334.71,NMNL
Well29,334.71,450.59,CK
Well30,0,54.17,NU
Well30,54.17,345.91,NMNL
Well30,345.91,468.02,CK
Well31,0,53.58,NU
Well31,53.58,357.36,NMNL
Well31,357.36,487.36,CK
Well32,0,54.37,NU
Well32,54.37,372.26,NMNL
Well32,372.26,511.55,CK
Well33,0,53.42,NU
Well33,53.42,386.42,NMNL
Well33,386.42,534.48,CK
Well34,0,53.38,NU
Well34,53.38,401.71,NMNL
Well34,401.71,556.84,CK
Well35,0,53.32,NU
Well35,53.32,417.14,NMNL
Well35,417.14,577.89,CK
Well36,0,53.27,NU
Well36,53.27,432.79,NMNL
Well36,432.79,598.49,CK
Well37,0,55.38,NU
Well37,55.38,448.57,NMNL
Well37,448.57,619.16,CK
Well38,0,58.17,NU
Well38,58.17,464.46,NMNL
Well38,464.46,640.3,CK
Well39,0,61.18,NU
Well39,61.18,480.51,NMNL
Well39,480.51,662.15,CK
Well40,0,64.61,NU
Well40,64.61,497.15,NMNL
Well40,497.15,684.83,CK
Well41,0,68.22,NU
Well41,68.22,513.61,NMNL
Well41,513.61,708.02,CK
Well42,0,72.75,NU
Well42,72.75,530.03,NMNL
Well42,530.03,733.87,CK
Well43,0,77.15,NU
Well43,77.15,544.68,NMNL
Well43,544.68,762.64,CK
Well44,0,54.03,NU
Well44,54.03,330.01,NMNL
Well44,330.01,442.67,CK
Well45,0,54.3,NU
Well45,54.3,340.35,NMNL
Well45,340.35,457.16,CK
Well46,0,54.16,NU
Well46,54.16,350.44,NMNL
Well46,350.44,475.37,CK
Well47,0,53.69,NU
Well47,53.69,362.59,NMNL
Well47,362.59,496.27,CK
Well48,0,54.63,NU
Well48,54.63,378.78,NMNL
Well48,378.78,524.01,CK
Well49,0,53.6,NU
Well49,53.6,393.44,NMNL
Well49,393.44,548.89,CK
Well50,0,53.54,NU
Well50,53.54,408.49,NMNL
Well50,408.49,570.9,CK
Well51,0,53.49,NU
Well51,53.49,423.54,NMNL
Well51,423.54,590.95,CK
Well52,0,54.39,NU
Well52,54.39,438.84,NMNL
Well52,438.84,610.73,CK
Well53,0,56.38,NU
Well53,56.38,454.32,NMNL
Well53,454.32,631.04,CK
Well54,0,58.86,NU
Well54,58.86,469.95,NMNL
Well54,469.95,652.31,CK
Well55,0,61.63,NU
Well55,61.63,485.99,NMNL
Well55,485.99,674.37,CK
Well56,0,68.68,NU
Well56,68.68,506.92,NMNL
Well56,506.92,700.03,CK
Well57,0,71.18,NU
Well57,71.18,523.35,NMNL
Well57,523.35,720.21,CK
Well58,0,74.79,NU
Well58,74.79,540,NMNL
Well58,540,744.07,CK
Well59,0,80.11,NU
Well59,80.11,554.48,NMNL
Well59,554.48,772.54,CK
Well60,0,85.04,NU
Well60,85.04,566.94,NMNL
Well60,566.94,805.32,CK
Well61,0,55.43,NU
Well61,55.43,335.27,NMNL
Well61,335.27,451.24,CK
Well62,0,54.86,NU
Well62,54.86,340.7,NMNL
Well62,340.7,460.49,CK
Well63,0,53.86,NU
Well63,53.86,357.3,NMNL
Well63,357.3,489.29,CK
Well64,0,53.99,NU
Well64,53.99,369.33,NMNL
Well64,369.33,507.26,CK
Well65,0,53.78,NU
Well65,53.78,386.33,NMNL
Well65,386.33,539.3,CK
Well66,0,54.29,NU
Well66,54.29,402.63,NMNL
Well66,402.63,567.24,CK
Well67,0,53.86,NU
Well67,53.86,415.84,NMNL
Well67,415.84,586.17,CK
Well68,0,55.16,NU
Well68,55.16,430.11,NMNL
Well68,430.11,604.13,CK
Well69,0,56.34,NU
Well69,56.34,444.85,NMNL
Well69,444.85,622.78,CK
Well70,0,58.06,NU
Well70,58.06,460.1,NMNL
Well70,460.1,643.14,CK
Well71,0,59.92,NU
Well71,59.92,474.78,NMNL
Well71,474.78,664.52,CK
Well72,0,62.77,NU
Well72,62.77,490.26,NMNL
Well72,490.26,686.79,CK
Well73,0,65.44,NU
Well73,65.44,506.37,NMNL
Well73,506.37,705.62,CK
Well74,0,69.95,NU
Well74,69.95,526.66,NMNL
Well74,526.66,725.09,CK
Well75,0,75.83,NU
Well75,75.83,550.93,NMNL
Well75,550.93,752.05,CK
Well76,0,82.41,NU
Well76,82.41,564.14,NMNL
Well76,564.14,780.97,CK
Well77,0,88.05,NU
Well77,88.05,574.43,NMNL
Well77,574.43,814.8,CK
Well78,0,58.06,NU
Well78,58.06,329.49,NMNL
Well78,329.49,446.04,CK
Well79,0,58.69,NU
Well79,58.69,341,NMNL
Well79,341,462.52,CK
Well80,0,58.47,NU
Well80,58.47,350.66,NMNL
Well80,350.66,480.48,CK
Well81,0,57.03,NU
Well81,57.03,356.56,NMNL
Well81,356.56,499.39,CK
Well82,0,55.72,NU
Well82,55.72,373.14,NMNL
Well82,373.14,506.94,CK
Well83,0,57.22,NU
Well83,57.22,397.17,NMNL
Well83,397.17,558.03,CK
Well84,0,56.86,NU
Well84,56.86,411.34,NMNL
Well84,411.34,585.29,CK
Well85,0,57.2,NU
Well85,57.2,422.57,NMNL
Well85,422.57,599.43,CK
