strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
NUCT_s_1,NDW-01,0.0,65.5,1.0,65.5,1.295,0.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,43.35812384516098,65.5,0.0,0.0,65.5,,,
NUCT,NDW-01,65.5,131.0,1.0,65.5,2.59,1.295,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,43.994893593810616,66.45477019728145,0.0,65.5,131.0,,,
NUKO_s_2,NDW-01,131.00000000000006,211.33333333333337,1.0,80.33333333333333,3.0599999999999996,2.5899999999999994,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,54.80067300582472,82.62618421610023,0.0,131.00000000000006,211.33333333333337,,,
NUKO_s_1,NDW-01,211.33333333333337,291.6666666666667,1.0,80.33333333333333,3.53,3.0599999999999996,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,55.698290621018415,83.96692251520581,0.0,211.33333333333337,291.6666666666667,,,
NUKO,NDW-01,291.6666666666667,372.0,1.0,80.33333333333333,4.0,3.53,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,56.56435189336461,85.26015180906691,0.0,291.6666666666667,372.0,,,
~NUBAU_s_3-NUKO,,,,0.0,0.0,11.699999999999998,4.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
NUBAU_s_3,NDW-01,372.0,470.25,1.0,98.25,12.124999999999998,11.699999999999998,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.386,0.000496,3.3000000000000003,900.0,1.2500000000000003e-06,67.4714416648341,108.09862432297247,0.0,372.0,470.25,,,
NUBAU_s_2,NDW-01,470.25,568.5,1.0,98.25,12.549999999999999,12.124999999999998,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.386,0.000496,3.3000000000000003,900.0,1.2500000000000003e-06,68.93538228903631,110.40636654016109,0.0,470.25,568.5,,,
NUBAU_s_1,NDW-01,568.5,666.75,1.0,98.25,12.975,12.549999999999999,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.386,0.000496,3.3000000000000003,900.0,1.2500000000000003e-06,70.3296925514832,112.60293061488957,0.0,568.5,666.75,,,
NUBAU,NDW-01,666.75,765.0,1.0,98.25,13.4,12.975,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.386,0.000496,3.3000000000000003,900.0,1.2500000000000003e-06,71.65768432643907,114.69373965547905,0.0,666.75,765.0,,,
NUVI,NDW-01,765.0,803.0,1.0,38.0,16.8,13.4,0.0,0.79,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2623.5,0.33999999999999997,0.00044155,3.365,891.0,1.2375000000000002e-06,28.86043282962885,43.51395220197602,0.0,765.0,803.0,,,
