strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,provenance_age_start_3,provenance_age_end_3,provenance_age_start_4,provenance_age_end_4,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
~-USM_a_0-present,,,,0.0,0.0,0.02999999999999936,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
-USM_a_0,,,,-1.0,0.0,0.4289999999999994,0.02999999999999936,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,
-USM_a_1,,,,-1.0,0.0,0.8279999999999994,0.4289999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-USM_a_2,,,,-1.0,0.0,1.2269999999999994,0.8279999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-USM_a_3,,,,-1.0,0.0,1.6259999999999994,1.2269999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-USM_a_4,,,,-1.0,0.0,2.0249999999999995,1.6259999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-USM_a_5,,,,-1.0,0.0,2.4239999999999995,2.0249999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_0,,,,-1.0,0.0,2.8229999999999995,2.4239999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_1,,,,-1.0,0.0,3.2219999999999995,2.8229999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_2,,,,-1.0,0.0,3.6209999999999996,3.2219999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_3,,,,-1.0,0.0,4.02,3.6209999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_4,,,,-1.0,0.0,4.419,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_5,,,,-1.0,0.0,4.818,4.419,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_6,,,,-1.0,0.0,5.217,4.818,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_7,,,,-1.0,0.0,5.616,5.217,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_8,,,,-1.0,0.0,6.015,5.616,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_9,,,,-1.0,0.0,6.414,6.015,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_0,,,,-1.0,0.0,6.813,6.414,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_1,,,,-1.0,0.0,7.212,6.813,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_2,,,,-1.0,0.0,7.611,7.212,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
